variant,initial_capital,final_equity,net_pnl,return_pct,max_drawdown_pct,max_daily_loss_pct,daily_win_rate,trading_days,signals,entries_filled,entry_win_rate,signal_win_rate,profit_factor,avg_win,avg_loss,payoff_ratio,max_consecutive_losing_signals,max_concurrent_open_signals_seen,max_open_lots_seen,tp3_hits,tp2_hits,tp1_hits,sl_hits,time_exits,trailing_stops,signals_rejected_by_daily_loss,signals_rejected_by_concurrency,signals_rejected_by_risk_budget
base_8entry_2k,2000.0,6102.600000000045,4102.600000000045,205.13000000000227,-30.933412246671637,-11.276315105213177,55.55555555555556,36,303,1142,49.036777583187394,25.412541254125415,1.6065803305690032,19.403732142857155,-11.621116838487824,1.6696959864127852,5,4,0.46,0,270,0,536,258,78,0,0,0
vs2k_e2_c1_d5_z6,2000.0,4161.130000000039,2161.130000000039,108.05650000000196,-18.159197664085152,-6.4414110014867205,55.55555555555556,36,110,104,52.88461538461539,27.27272727272727,2.0759545348183384,75.81272727272751,-40.99122448979536,1.8494867673836108,3,1,0.12,0,28,0,40,28,8,4,189,0
