variant,initial_capital,final_equity,net_pnl,return_pct,max_drawdown_pct,max_daily_loss_pct,daily_win_rate,trading_days,signals,entries_filled,entry_win_rate,signal_win_rate,profit_factor,avg_win,avg_loss,payoff_ratio,max_consecutive_losing_signals,max_concurrent_open_signals_seen,max_open_lots_seen,tp3_hits,tp2_hits,tp1_hits,sl_hits,time_exits,trailing_stops,signals_rejected_by_daily_loss,signals_rejected_by_concurrency,signals_rejected_by_risk_budget
base_8entry_50k,50000.0,113152.80000000066,63152.80000000066,126.3056000000013,-11.306692354476503,-4.715069990152465,47.61904761904761,21,174,641,53.042121684867396,27.586206896551722,1.6671920857517857,464.13941176470416,-314.46710963454836,1.475955346503787,2,4,9.66,0,157,0,285,149,50,0,0,0
base_8entry_2k,2000.0,4250.030000000016,2250.030000000016,112.5015000000008,-11.772457720184413,-4.835498197848527,47.61904761904761,21,174,641,53.042121684867396,27.586206896551722,1.6324963877910386,17.08061764705881,-11.818538205979884,1.4452394491914782,2,4,0.32,0,157,0,285,149,50,0,0,0
vs2k_e2_c1_d5_z6,2000.0,3304.600000000005,1304.600000000005,65.23000000000025,-6.716039894499656,-6.233712081726135,47.61904761904761,21,63,54,57.407407407407405,28.57142857142857,2.4762260393328543,70.59161290322582,-38.42347826086928,1.8371999646663113,2,1,0.1,0,16,0,19,13,6,2,109,0
vs2k_e2_c1_d6_z6,2000.0,3304.600000000005,1304.600000000005,65.23000000000025,-6.716039894499656,-6.233712081726135,47.61904761904761,21,63,54,57.407407407407405,28.57142857142857,2.4762260393328543,70.59161290322582,-38.42347826086928,1.8371999646663113,2,1,0.1,0,16,0,19,13,6,2,109,0
vs2k_e3_c1_d5_z6,2000.0,3008.280000000001,1008.2800000000011,50.41400000000006,-7.291864213919974,-5.056975539629088,47.61904761904761,21,63,81,56.79012345679012,26.984126984126984,2.3085708352800776,38.6695652173913,-22.01485714285708,1.7565212877131022,2,1,0.09,0,23,0,29,20,9,2,109,0
