rank,cell,edge_fixed_no_bonus,oos_fixed_no_bonus,concurrent_risk_max_dd_pct,fixed_with_bonus,stable_fraction,trailing_open_distance,trailing_close_distance,entry_count,sl_multiplier,max_hold_minutes,tp1_lock_delay_minutes,tp1_lock_fraction,lock_after_tp2,candidate_id
1,to0p2_tc0p1,98348.61,2719.24,32.69,103265.19,1.000,0.2,0.1,8,1.15,180,0,0.25,True,e210ac7619d8be61
2,to0p2_tc0p1,93904.95,2457.06,12.68,98136.36,1.000,0.2,0.1,8,1.9,240,20,0.25,True,d2aef37e725202f5
3,to0p2_tc0p1,92004.86,2382.07,34.71,97118.24,1.000,0.2,0.1,8,2.2,240,10,0.25,False,cc57a543144240d2
4,to0p2_tc0p1,85665.24,2016.17,20.95,90904.17,1.000,0.2,0.1,8,1.9,60,0,0.75,True,af2dc33fc05ff296
5,to0p2_tc0p1,84569.27,2318.82,20.93,88874.69,1.000,0.2,0.1,7,1.3,90,0,0.25,True,eb288ee58941d86a
6,to0p2_tc0p1,84166.86,2300.28,7.35,88262.85,1.000,0.2,0.1,7,1.9,120,0,1.0,True,0617da637cdf37d1
7,to0p2_tc0p1,81484.85,1862.14,14.14,86127.29,1.000,0.2,0.1,8,2.3,300,0,0.75,True,639c4a2205369bf6
8,to0p2_tc0p1,80898.81,2107.54,7.85,85330.44,1.000,0.2,0.1,7,1.45,300,0,0.25,True,36233acdc45f91aa
9,to0p2_tc0p1,80216.14,1938.43,24.43,84805.78,1.000,0.2,0.1,7,1.61,180,0,0.5,False,2b4848a1f76a5447
10,to0p2_tc0p1,80196.71,1970.17,21.22,85084.16,1.000,0.2,0.1,8,1.15,90,30,1.0,True,ce1071262108685c
11,to0p2_tc0p1,80049.37,1600.59,8.54,85293.40,1.000,0.2,0.1,8,2.2,30,15,0.5,True,65994398dffa197a
12,to0p2_tc0p1,77263.82,1913.96,37.57,82375.55,1.000,0.2,0.1,8,1.61,120,0,0.75,False,f5fd1d93cf174606
13,to0p2_tc0p1,76488.03,1967.07,15.39,81310.98,1.000,0.2,0.1,8,1.15,300,0,0.25,False,e999170d206c6b3c
14,to0p2_tc0p1,74496.15,1619.35,35.27,78627.51,1.000,0.2,0.1,8,1.9,240,0,0.25,True,958cf4669720566d
15,to0p2_tc0p1,74256.58,1518.57,30.26,79500.19,1.000,0.2,0.1,8,1.9,45,30,0.5,False,4cae771f86bc94bc
16,to0p2_tc0p1,73512.46,1626.55,4.01,77039.29,1.000,0.2,0.1,8,2.1,240,24,0.5,True,180a6cf1c6e71136
17,to0p2_tc0p1,72790.05,1633.09,9.21,76794.51,1.000,0.2,0.1,7,1.45,240,0,0.5,False,d7d7cf34bbed188c
18,to0p2_tc0p1,72542.34,1553.65,17.30,77185.02,1.000,0.2,0.1,8,1.75,45,0,0.75,True,ffb020058d8bbc82
19,to0p2_tc0p1,71887.94,1553.72,31.45,76015.73,1.000,0.2,0.1,8,2.1,120,30,0.5,False,f023f44533e48035
20,to0p2_tc0p1,71040.22,1889.25,13.30,74732.20,1.000,0.2,0.1,7,2.0,90,0,1.0,False,833f13df05eeebc0
