rank,cell,edge_fixed_no_bonus,oos_fixed_no_bonus,concurrent_risk_max_dd_pct,fixed_with_bonus,stable_fraction,trailing_open_distance,trailing_close_distance,entry_count,sl_multiplier,max_hold_minutes,tp1_lock_delay_minutes,tp1_lock_fraction,lock_after_tp2,candidate_id
1,to1_tc0p1,230146.32,52619.81,35.55,232450.47,1.000,1.0,0.1,8,1.15,180,0,0.25,True,5969e7d34c8a04ee
2,to1_tc0p2,223560.59,50861.66,34.96,225864.74,1.000,1.0,0.2,8,1.15,180,0,0.25,True,1a36cc4f8202c750
3,to1_tc0p1,202323.57,45381.99,16.19,204479.25,1.000,1.0,0.1,8,1.9,240,20,0.25,True,4b9bb5d46da1eb3d
4,to1_tc0p2,195544.62,43542.17,16.72,197700.30,1.000,1.0,0.2,8,1.9,240,20,0.25,True,35c1ec7d22d4d212
5,to1_tc0p1,168337.44,36018.12,9.78,170614.74,1.000,1.0,0.1,8,2.2,30,15,0.5,True,3e5dbf3b693cbc74
6,to1_tc0p1,166904.51,37760.34,31.56,169186.07,1.000,1.0,0.1,8,1.9,300,0,0.5,True,af431bece640ee30
7,to1_tc0p1,164226.39,35836.37,6.70,166247.91,1.000,1.0,0.1,8,2.1,240,24,0.5,True,d8eacb192c7d0af6
8,to1_tc0p2,162064.25,34375.06,10.30,164341.55,1.000,1.0,0.2,8,2.2,30,15,0.5,True,3fbbca04fa01e92e
9,to1_tc0p1,161805.69,35514.72,24.55,164062.23,1.000,1.0,0.1,8,1.9,60,0,0.75,True,67b08f641ac37326
10,to1_tc0p1,161536.52,35295.91,28.93,163792.28,1.000,1.0,0.1,8,1.15,90,30,1.0,True,3abe989867bcfae8
11,to1_tc0p1,159832.66,36622.97,10.85,161778.73,1.000,1.0,0.1,7,1.9,120,0,1.0,True,b67309279c4fdc0f
12,to1_tc0p1,159813.16,35966.37,30.93,162095.35,1.000,1.0,0.1,8,2.2,240,10,0.25,False,3c155dad3dc09eb7
13,to1_tc0p1,159647.54,34831.60,5.62,161645.00,1.000,1.0,0.1,8,2.3,120,0,0.25,True,6a7af0c45801fd98
14,to1_tc0p2,159600.81,36002.06,31.82,161882.37,1.000,1.0,0.2,8,1.9,300,0,0.5,True,af617ef3a2b0d2e7
15,to1_tc0p2,157777.18,34039.98,7.12,159798.70,1.000,1.0,0.2,8,2.1,240,24,0.5,True,fe050eaabb6d46e3
16,to1_tc0p1,157569.39,34260.33,18.27,159794.07,1.000,1.0,0.1,8,1.75,45,0,0.75,True,a630ad9e9f07ee84
17,to1_tc0p1,155933.55,34100.28,32.03,158097.57,1.000,1.0,0.1,8,2.1,120,30,0.5,False,02409b5708b154ce
18,to1_tc0p2,155545.56,33593.90,29.20,157801.32,1.000,1.0,0.2,8,1.15,90,30,1.0,True,bf958b38928e1d4d
19,to1_tc0p2,155310.13,33724.86,26.51,157566.67,1.000,1.0,0.2,8,1.9,60,0,0.75,True,ef0ee4c33d19a917
20,to1_tc0p1,154158.38,34933.34,29.99,156123.89,1.000,1.0,0.1,7,1.3,90,0,0.25,True,25289c2ba619e8c5
