rank,cell,edge_fixed_no_bonus,oos_fixed_no_bonus,concurrent_risk_max_dd_pct,fixed_with_bonus,stable_fraction,trailing_open_distance,trailing_close_distance,entry_count,sl_multiplier,max_hold_minutes,tp1_lock_delay_minutes,tp1_lock_fraction,lock_after_tp2,candidate_id
1,to0p2_tc8,58032.02,8589.26,32.59,60885.95,0.867,0.2,8.0,8,2.1,240,24,0.5,True,59ee22fe5ff89c4f
2,to0p2_tc8,50639.27,7562.36,32.25,53136.29,0.867,0.2,8.0,7,2.1,240,24,0.5,True,515cd7519bd13046
3,to0p2_tc8,46929.48,7855.90,28.44,49070.01,0.933,0.2,8.0,6,2.1,300,24,0.5,True,9be919f7c3a9463c
4,to0p2_tc8,45142.93,7172.44,31.02,47380.24,0.867,0.2,8.0,6,2.1,240,24,0.5,True,20baa113e9c94070
5,to0p2_tc8,43841.57,6802.53,32.05,46030.64,0.867,0.2,8.0,6,2.1,240,24,0.5,True,66c7012107773069
6,to0p2_tc8,43443.13,5971.73,33.62,45584.26,0.800,0.2,8.0,6,2.3,240,24,0.5,True,ba21659ed7a9c485
7,to0p2_tc8,43309.24,6367.80,32.99,45450.37,0.800,0.2,8.0,6,2.1,240,30,0.5,True,ea92ce6b57b338e6
8,to0p2_tc8,43092.44,6348.69,33.82,45233.57,0.800,0.2,8.0,6,2.2,240,24,0.5,True,cb12b421f87c9fdf
9,to0p2_tc8,42890.94,6789.35,32.95,45032.07,0.800,0.2,8.0,6,2.0,240,24,0.5,True,7db800e7f9e6baf3
10,to0p2_tc8,42801.70,6463.28,33.19,44942.83,0.800,0.2,8.0,6,2.1,240,27,0.5,True,e285d79ff4804714
11,to0p2_tc8,42758.60,6405.13,33.35,44899.73,0.800,0.2,8.0,6,2.1,240,24,0.5,True,ccd229fec494e2ea
12,to0p2_tc8,42758.60,6405.13,33.35,44899.73,0.800,0.2,8.0,6,2.1,240,24,1.0,True,3c2a57886f15b362
13,to0p2_tc8,42758.60,6405.13,33.35,44899.73,0.800,0.2,8.0,6,2.1,240,24,0.25,True,a1db4bec37b55445
14,to0p2_tc8,42585.82,6100.81,33.07,44683.27,0.800,0.2,8.0,6,2.1,240,24,0.5,True,d3270f4686f5b9aa
15,to0p2_tc8,42360.20,6707.72,32.62,44501.33,0.867,0.2,8.0,6,1.9,240,24,0.5,True,76f72ce0f61788bd
16,to0p2_tc8,41977.90,6247.34,33.38,44119.03,0.800,0.2,8.0,6,2.1,240,20,0.5,True,2093e883b40a0641
17,to0p2_tc8,41188.12,6472.44,28.82,43329.52,0.933,0.2,8.0,6,2.1,180,24,0.5,True,f316e92ab936d4ff
18,to0p2_tc8,39860.19,5817.79,33.30,42001.32,0.800,0.2,8.0,6,2.1,240,15,0.5,True,9c080f55ce650196
19,to0p2_tc8,36053.45,5436.14,31.37,37839.74,0.867,0.2,8.0,5,2.1,240,24,0.5,True,68ba2416924e0447
20,to0p2_tc8,35416.67,7477.81,24.35,37558.19,0.867,0.2,8.0,6,2.1,120,24,0.5,True,2c132696d4f0abda
