<DATE>	<TIME>	<TIME_MSC>	<BID>	<ASK>	<LAST>	<VOLUME>	<VOLUME_REAL>	<FLAGS>	<SPREAD>
2026.05.12	21:54:23.211	1778622863211	4697.39	4697.67		0	0	134	28
2026.05.12	21:54:23.329	1778622863329	4697.32	4697.60		0	0	134	28
2026.05.12	21:54:23.449	1778622863449	4697.28	4697.56		0	0	134	28
2026.05.12	21:54:23.566	1778622863566	4697.27	4697.55		0	0	134	28
2026.05.12	21:54:23.923	1778622863923	4697.29	4697.57		0	0	134	28
2026.05.12	21:54:24.157	1778622864157	4697.24	4697.52		0	0	134	28
2026.05.12	21:54:24.276	1778622864276	4697.32	4697.60		0	0	134	28
2026.05.12	21:54:24.513	1778622864513	4697.32	4697.58		0	0	4	26
2026.05.12	21:54:24.669	1778622864669	4697.02	4697.33		0	0	134	31
2026.05.12	21:54:24.677	1778622864677	4696.90	4697.20		0	0	134	30
2026.05.12	21:54:24.717	1778622864717	4696.93	4697.21		0	0	134	28
2026.05.12	21:54:24.719	1778622864719	4696.93	4697.23		0	0	4	30
2026.05.12	21:54:24.727	1778622864727	4697.06	4697.34		0	0	134	28
2026.05.12	21:54:24.750	1778622864750	4697.13	4697.41		0	0	134	28
2026.05.12	21:54:25.104	1778622865104	4697.15	4697.43		0	0	134	28
2026.05.12	21:54:25.223	1778622865223	4697.19	4697.47		0	0	134	28
2026.05.12	21:54:25.341	1778622865341	4697.17	4697.45		0	0	134	28
2026.05.12	21:54:25.578	1778622865578	4697.22	4697.50		0	0	134	28
2026.05.12	21:54:25.696	1778622865696	4697.21	4697.47		0	0	134	26
2026.05.12	21:54:25.814	1778622865814	4697.19	4697.47		0	0	130	28
2026.05.12	21:54:25.933	1778622865933	4697.16	4697.44		0	0	134	28
2026.05.12	21:54:26.050	1778622866050	4697.21	4697.49		0	0	134	28
2026.05.12	21:54:26.170	1778622866170	4697.15	4697.43		0	0	134	28
2026.05.12	21:54:26.405	1778622866405	4697.12	4697.40		0	0	134	28
2026.05.12	21:54:26.523	1778622866523	4697.18	4697.46		0	0	134	28
2026.05.12	21:54:26.761	1778622866761	4697.20	4697.48		0	0	134	28
2026.05.12	21:54:26.872	1778622866872	4696.95	4697.23		0	0	134	28
2026.05.12	21:54:26.872	1778622866872	4696.96	4697.24		0	0	134	28
2026.05.12	21:54:26.877	1778622866877	4696.99	4697.27		0	0	134	28
2026.05.12	21:54:26.879	1778622866879	4697.00	4697.30		0	0	134	30
2026.05.12	21:54:26.879	1778622866879	4697.02	4697.32		0	0	134	30
2026.05.12	21:54:26.997	1778622866997	4697.09	4697.37		0	0	134	28
2026.05.12	21:54:27.118	1778622867118	4697.04	4697.32		0	0	134	28
2026.05.12	21:54:27.353	1778622867353	4697.05	4697.33		0	0	134	28
2026.05.12	21:54:27.824	1778622867824	4697.07	4697.35		0	0	134	28
2026.05.12	21:54:28.182	1778622868182	4697.09	4697.37		0	0	134	28
2026.05.12	21:54:28.299	1778622868299	4696.95	4697.23		0	0	134	28
2026.05.12	21:54:28.416	1778622868416	4696.96	4697.24		0	0	134	28
2026.05.12	21:54:28.478	1778622868478	4696.72	4697.00		0	0	134	28
2026.05.12	21:54:28.479	1778622868479	4696.69	4696.97		0	0	134	28
2026.05.12	21:54:28.535	1778622868535	4696.68	4696.96		0	0	134	28
2026.05.12	21:54:28.535	1778622868535	4696.77	4697.05		0	0	134	28
2026.05.12	21:54:28.771	1778622868771	4696.82	4697.09		0	0	134	27
2026.05.12	21:54:28.884	1778622868884	4696.76	4697.04		0	0	134	28
2026.05.12	21:54:28.890	1778622868890	4696.81	4697.08		0	0	134	27
2026.05.12	21:54:29.009	1778622869009	4696.79	4697.07		0	0	134	28
2026.05.12	21:54:29.215	1778622869215	4696.83	4697.11		0	0	134	28
2026.05.12	21:54:29.215	1778622869215	4696.84	4697.12		0	0	134	28
2026.05.12	21:54:29.216	1778622869216	4696.86	4697.14		0	0	134	28
2026.05.12	21:54:29.216	1778622869216	4696.89	4697.17		0	0	134	28
2026.05.12	21:54:29.244	1778622869244	4696.88	4697.16		0	0	134	28
2026.05.12	21:54:29.363	1778622869363	4696.91	4697.19		0	0	134	28
2026.05.12	21:54:29.481	1778622869481	4696.92	4697.20		0	0	134	28
2026.05.12	21:54:29.599	1778622869599	4696.90	4697.18		0	0	134	28
2026.05.12	21:54:29.838	1778622869838	4696.89	4697.17		0	0	134	28
2026.05.12	21:54:30.191	1778622870191	4696.92	4697.17		0	0	130	25
2026.05.12	21:54:30.309	1778622870309	4696.93	4697.21		0	0	134	28
2026.05.12	21:54:30.429	1778622870429	4697.03	4697.31		0	0	134	28
2026.05.12	21:54:30.497	1778622870497	4697.25	4697.53		0	0	134	28
