<DATE>	<TIME>	<TIME_MSC>	<BID>	<ASK>	<LAST>	<VOLUME>	<VOLUME_REAL>	<FLAGS>	<SPREAD>
2026.05.29	22:52:52.840	1780095172840	4545.99	4546.27		0	0	134	28
2026.05.29	22:52:53.059	1780095173059	4546.00	4546.28		0	0	134	28
2026.05.29	22:52:53.168	1780095173168	4545.99	4546.27		0	0	134	28
2026.05.29	22:52:53.278	1780095173278	4545.98	4546.26		0	0	134	28
2026.05.29	22:52:53.495	1780095173495	4546.11	4546.39		0	0	134	28
2026.05.29	22:52:53.605	1780095173605	4546.13	4546.41		0	0	134	28
2026.05.29	22:52:53.932	1780095173932	4546.21	4546.49		0	0	134	28
2026.05.29	22:52:54.259	1780095174259	4546.18	4546.46		0	0	134	28
2026.05.29	22:52:54.480	1780095174480	4546.28	4546.56		0	0	134	28
2026.05.29	22:52:54.596	1780095174596	4546.37	4546.65		0	0	134	28
2026.05.29	22:52:54.599	1780095174599	4546.38	4546.64		0	0	134	26
2026.05.29	22:52:54.601	1780095174601	4546.41	4546.67		0	0	134	26
2026.05.29	22:52:54.625	1780095174625	4546.38	4546.66		0	0	134	28
2026.05.29	22:52:54.626	1780095174626	4546.37	4546.65		0	0	134	28
2026.05.29	22:52:54.628	1780095174628	4546.39	4546.65		0	0	130	26
2026.05.29	22:52:54.629	1780095174629	4546.41	4546.69		0	0	134	28
2026.05.29	22:52:54.639	1780095174639	4546.43	4546.71		0	0	134	28
2026.05.29	22:52:54.647	1780095174647	4546.42	4546.70		0	0	134	28
2026.05.29	22:52:54.648	1780095174648	4546.43	4546.71		0	0	134	28
2026.05.29	22:52:54.699	1780095174699	4546.39	4546.67		0	0	134	28
2026.05.29	22:52:54.806	1780095174806	4546.40	4546.68		0	0	134	28
2026.05.29	22:52:55.249	1780095175249	4546.38	4546.66		0	0	134	28
2026.05.29	22:52:55.572	1780095175572	4546.41	4546.69		0	0	134	28
2026.05.29	22:52:55.683	1780095175683	4546.42	4546.69		0	0	130	27
2026.05.29	22:52:56.010	1780095176010	4546.41	4546.67		0	0	134	26
2026.05.29	22:52:56.120	1780095176120	4546.37	4546.65		0	0	134	28
2026.05.29	22:52:56.341	1780095176341	4546.36	4546.64		0	0	134	28
2026.05.29	22:52:56.449	1780095176449	4546.35	4546.63		0	0	134	28
2026.05.29	22:52:56.667	1780095176667	4546.37	4546.65		0	0	134	28
2026.05.29	22:52:56.885	1780095176885	4546.36	4546.64		0	0	134	28
2026.05.29	22:52:56.994	1780095176994	4546.34	4546.62		0	0	134	28
2026.05.29	22:52:57.104	1780095177104	4546.33	4546.60		0	0	134	27
2026.05.29	22:52:57.431	1780095177431	4546.34	4546.62		0	0	134	28
2026.05.29	22:52:57.542	1780095177542	4546.36	4546.64		0	0	134	28
2026.05.29	22:52:57.651	1780095177651	4546.45	4546.73		0	0	134	28
2026.05.29	22:52:57.756	1780095177756	4546.44	4546.72		0	0	134	28
2026.05.29	22:52:57.760	1780095177760	4546.50	4546.78		0	0	134	28
2026.05.29	22:52:57.870	1780095177870	4546.60	4546.88		0	0	134	28
2026.05.29	22:52:57.979	1780095177979	4546.64	4546.92		0	0	134	28
2026.05.29	22:52:58.198	1780095178198	4546.60	4546.88		0	0	134	28
2026.05.29	22:52:58.308	1780095178308	4546.57	4546.85		0	0	134	28
2026.05.29	22:52:58.414	1780095178414	4546.49	4546.77		0	0	134	28
2026.05.29	22:52:58.483	1780095178483	4546.57	4546.85		0	0	134	28
2026.05.29	22:52:58.484	1780095178484	4546.58	4546.86		0	0	134	28
2026.05.29	22:52:58.491	1780095178491	4546.59	4546.87		0	0	134	28
2026.05.29	22:52:58.499	1780095178499	4546.60	4546.87		0	0	130	27
2026.05.29	22:52:58.525	1780095178525	4546.64	4546.92		0	0	134	28
2026.05.29	22:52:58.635	1780095178635	4546.61	4546.89		0	0	134	28
2026.05.29	22:52:58.854	1780095178854	4546.51	4546.79		0	0	134	28
2026.05.29	22:52:58.962	1780095178962	4546.50	4546.78		0	0	134	28
2026.05.29	22:52:59.180	1780095179180	4546.48	4546.76		0	0	134	28
2026.05.29	22:52:59.289	1780095179289	4546.56	4546.84		0	0	134	28
2026.05.29	22:52:59.947	1780095179947	4546.54	4546.82		0	0	134	28
2026.05.29	22:53:00.137	1780095180137	4546.58	4546.86		0	0	134	28
2026.05.29	22:53:00.140	1780095180140	4546.60	4546.88		0	0	134	28
2026.05.29	22:53:00.141	1780095180141	4546.61	4546.89		0	0	134	28
2026.05.29	22:53:00.142	1780095180142	4546.58	4546.86		0	0	134	28
2026.05.29	22:53:00.143	1780095180143	4546.56	4546.84		0	0	134	28
2026.05.29	22:53:00.153	1780095180153	4546.52	4546.80		0	0	134	28
2026.05.29	22:53:00.165	1780095180165	4546.53	4546.81		0	0	134	28
2026.05.29	22:53:00.166	1780095180166	4546.60	4546.88		0	0	134	28
2026.05.29	22:53:00.265	1780095180265	4546.61	4546.89		0	0	134	28
2026.05.29	22:53:00.277	1780095180277	4546.57	4546.85		0	0	134	28
2026.05.29	22:53:00.478	1780095180478	4546.55	4546.82		0	0	134	27
2026.05.29	22:53:00.492	1780095180492	4546.56	4546.84		0	0	134	28
2026.05.29	22:53:00.819	1780095180819	4546.54	4546.82		0	0	134	28
2026.05.29	22:53:01.146	1780095181146	4546.65	4546.93		0	0	134	28
2026.05.29	22:53:01.147	1780095181147	4546.63	4546.91		0	0	134	28
2026.05.29	22:53:01.148	1780095181148	4546.60	4546.88		0	0	134	28
2026.05.29	22:53:01.258	1780095181258	4546.61	4546.89		0	0	134	28
2026.05.29	22:53:01.476	1780095181476	4546.59	4546.87		0	0	134	28
2026.05.29	22:53:01.916	1780095181916	4546.58	4546.86		0	0	134	28
2026.05.29	22:53:01.958	1780095181958	4546.64	4546.92		0	0	134	28
2026.05.29	22:53:01.962	1780095181962	4546.63	4546.91		0	0	134	28
2026.05.29	22:53:01.964	1780095181964	4546.62	4546.90		0	0	134	28
2026.05.29	22:53:01.995	1780095181995	4546.61	4546.89		0	0	134	28
2026.05.29	22:53:01.996	1780095181996	4546.60	4546.88		0	0	134	28
2026.05.29	22:53:02.017	1780095182017	4546.59	4546.87		0	0	134	28
2026.05.29	22:53:02.352	1780095182352	4546.49	4546.77		0	0	134	28
2026.05.29	22:53:02.461	1780095182461	4546.49	4546.75		0	0	4	26
2026.05.29	22:53:02.569	1780095182569	4546.48	4546.76		0	0	134	28
2026.05.29	22:53:02.680	1780095182680	4546.46	4546.74		0	0	134	28
2026.05.29	22:53:02.898	1780095182898	4546.39	4546.67		0	0	134	28
2026.05.29	22:53:02.899	1780095182899	4546.42	4546.70		0	0	134	28
2026.05.29	22:53:03.008	1780095183008	4546.31	4546.59		0	0	134	28
2026.05.29	22:53:03.115	1780095183115	4546.19	4546.44		0	0	134	25
2026.05.29	22:53:03.227	1780095183227	4546.21	4546.49		0	0	134	28
2026.05.29	22:53:03.883	1780095183883	4546.37	4546.65		0	0	134	28
2026.05.29	22:53:03.995	1780095183995	4546.46	4546.74		0	0	134	28
2026.05.29	22:53:04.101	1780095184101	4546.47	4546.75		0	0	134	28
2026.05.29	22:53:04.539	1780095184539	4546.46	4546.74		0	0	134	28
2026.05.29	22:53:05.196	1780095185196	4546.41	4546.69		0	0	134	28
2026.05.29	22:53:05.416	1780095185416	4546.43	4546.71		0	0	134	28
2026.05.29	22:53:05.524	1780095185524	4546.44	4546.72		0	0	134	28
2026.05.29	22:53:06.056	1780095186056	4546.19	4546.47		0	0	134	28
2026.05.29	22:53:06.058	1780095186058	4546.20	4546.48		0	0	134	28
2026.05.29	22:53:06.068	1780095186068	4546.23	4546.51		0	0	134	28
2026.05.29	22:53:06.138	1780095186138	4546.15	4546.43		0	0	134	28
2026.05.29	22:53:06.174	1780095186174	4546.20	4546.48		0	0	134	28
2026.05.29	22:53:06.175	1780095186175	4546.22	4546.50		0	0	134	28
2026.05.29	22:53:06.179	1780095186179	4546.21	4546.48		0	0	134	27
2026.05.29	22:53:06.209	1780095186209	4546.48	4546.76		0	0	134	28
2026.05.29	22:53:06.210	1780095186210	4546.65	4546.93		0	0	134	28
2026.05.29	22:53:06.214	1780095186214	4546.60	4546.88		0	0	134	28
2026.05.29	22:53:06.218	1780095186218	4546.66	4546.94		0	0	134	28
2026.05.29	22:53:06.219	1780095186219	4546.71	4546.97		0	0	134	26
2026.05.29	22:53:06.222	1780095186222	4546.69	4546.97		0	0	130	28
2026.05.29	22:53:06.231	1780095186231	4546.74	4547.02		0	0	134	28
2026.05.29	22:53:06.237	1780095186237	4546.78	4547.06		0	0	134	28
2026.05.29	22:53:06.238	1780095186238	4546.91	4547.19		0	0	134	28
2026.05.29	22:53:06.238	1780095186238	4546.98	4547.26		0	0	134	28
2026.05.29	22:53:06.246	1780095186246	4547.02	4547.30		0	0	134	28
2026.05.29	22:53:06.246	1780095186246	4547.10	4547.37		0	0	134	27
2026.05.29	22:53:06.248	1780095186248	4547.10	4547.38		0	0	4	28
2026.05.29	22:53:06.255	1780095186255	4547.13	4547.47		0	0	134	34
2026.05.29	22:53:06.285	1780095186285	4547.00	4547.28		0	0	134	28
2026.05.29	22:53:06.288	1780095186288	4547.07	4547.35		0	0	134	28
2026.05.29	22:53:06.501	1780095186501	4547.15	4547.43		0	0	134	28
2026.05.29	22:53:06.501	1780095186501	4547.16	4547.44		0	0	134	28
2026.05.29	22:53:06.508	1780095186508	4547.15	4547.43		0	0	134	28
2026.05.29	22:53:06.509	1780095186509	4547.14	4547.42		0	0	134	28
2026.05.29	22:53:06.514	1780095186514	4547.16	4547.44		0	0	134	28
2026.05.29	22:53:06.520	1780095186520	4547.17	4547.45		0	0	134	28
2026.05.29	22:53:06.522	1780095186522	4547.19	4547.47		0	0	134	28
2026.05.29	22:53:06.533	1780095186533	4547.18	4547.46		0	0	134	28
2026.05.29	22:53:06.545	1780095186545	4547.15	4547.43		0	0	134	28
2026.05.29	22:53:06.546	1780095186546	4547.16	4547.44		0	0	134	28
2026.05.29	22:53:06.547	1780095186547	4547.17	4547.45		0	0	134	28
2026.05.29	22:53:06.558	1780095186558	4547.15	4547.43		0	0	134	28
2026.05.29	22:53:06.561	1780095186561	4547.17	4547.45		0	0	134	28
