<DATE>	<TIME>	<TIME_MSC>	<BID>	<ASK>	<LAST>	<VOLUME>	<VOLUME_REAL>	<FLAGS>	<SPREAD>
2026.06.08	01:00:00.897	1780880400897	4329.63	4330.88		0	0	6	125
2026.06.08	01:00:01.224	1780880401224	4329.36	4330.61		0	0	6	125
2026.06.08	01:00:01.324	1780880401324	4329.09	4330.34		0	0	6	125
2026.06.08	01:00:02.339	1780880402339	4328.82	4330.07		0	0	6	125
2026.06.08	01:00:02.360	1780880402360	4328.55	4329.80		0	0	6	125
2026.06.08	01:00:02.380	1780880402380	4328.28	4329.53		0	0	6	125
2026.06.08	01:00:02.410	1780880402410	4328.01	4329.26		0	0	6	125
2026.06.08	01:00:02.469	1780880402469	4327.74	4328.99		0	0	6	125
2026.06.08	01:00:02.500	1780880402500	4327.47	4328.72		0	0	6	125
2026.06.08	01:00:02.524	1780880402524	4327.20	4328.45		0	0	6	125
2026.06.08	01:00:02.549	1780880402549	4326.93	4328.18		0	0	6	125
2026.06.08	01:00:02.559	1780880402559	4326.66	4327.91		0	0	6	125
2026.06.08	01:00:02.569	1780880402569	4326.39	4327.64		0	0	6	125
2026.06.08	01:00:02.580	1780880402580	4326.66	4327.91		0	0	6	125
2026.06.08	01:00:02.598	1780880402598	4326.39	4327.64		0	0	6	125
2026.06.08	01:00:02.609	1780880402609	4326.13	4327.38		0	0	6	125
2026.06.08	01:00:02.715	1780880402715	4326.06	4327.31		0	0	6	125
2026.06.08	01:00:02.910	1780880402910	4325.79	4327.03		0	0	6	124
2026.06.08	01:00:02.940	1780880402940	4325.52	4326.76		0	0	6	124
2026.06.08	01:00:02.967	1780880402967	4325.45	4326.69		0	0	6	124
2026.06.08	01:00:03.000	1780880403000	4325.47	4326.71		0	0	6	124
2026.06.08	01:00:03.029	1780880403029	4325.42	4326.65		0	0	6	123
2026.06.08	01:00:03.059	1780880403059	4325.44	4326.67		0	0	6	123
2026.06.08	01:00:03.089	1780880403089	4325.42	4326.65		0	0	6	123
2026.06.08	01:00:03.130	1780880403130	4325.50	4326.73		0	0	6	123
