<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2020.07.01	01:00:00	1780.85	1783.66	1780.12	1781.29	1264	0	0
2020.07.01	02:00:00	1781.39	1784.3	1781.39	1782.92	1927	0	0
2020.07.01	03:00:00	1782.91	1783.24	1780.23	1780.59	2761	0	0
2020.07.01	04:00:00	1780.59	1783.47	1780.59	1781.53	4232	0	0
2020.07.01	05:00:00	1781.58	1783.01	1780.9	1782.78	2459	0	0
2020.07.01	06:00:00	1782.68	1784.28	1781.99	1783.79	2870	0	0
2020.07.01	07:00:00	1783.73	1784.56	1781.96	1782.84	2652	0	0
2020.07.01	08:00:00	1782.88	1785.05	1782.64	1783.6	2814	0	0
2020.07.01	09:00:00	1783.68	1785.02	1783.04	1783.65	4778	0	0
2020.07.01	10:00:00	1783.65	1789.03	1783.45	1787.78	6570	0	0
2020.07.01	11:00:00	1787.79	1788.73	1785.54	1785.76	5057	0	0
2020.07.01	12:00:00	1785.88	1788.66	1785.4	1787.0	4577	0	0
2020.07.01	13:00:00	1787.06	1788.43	1779.79	1781.46	7380	0	0
2020.07.01	14:00:00	1781.38	1782.64	1776.72	1781.37	6603	0	0
2020.07.01	15:00:00	1781.4	1784.03	1775.77	1779.36	8806	0	0
2020.07.01	16:00:00	1779.39	1779.47	1763.9	1767.26	11128	0	0
2020.07.01	17:00:00	1767.28	1770.36	1761.53	1765.63	12085	0	0
2020.07.01	18:00:00	1765.67	1766.79	1759.07	1766.76	10349	0	0
2020.07.01	19:00:00	1766.76	1770.51	1765.23	1770.49	7834	0	0
2020.07.01	20:00:00	1770.49	1771.54	1767.7	1768.82	5940	0	0
2020.07.01	21:00:00	1768.75	1770.88	1766.48	1770.44	5823	0	0
2020.07.01	22:00:00	1770.44	1772.92	1769.93	1772.4	5458	0	0
2020.07.01	23:00:00	1772.4	1772.56	1769.56	1770.02	1525	0	0
2020.07.02	01:00:00	1769.17	1772.07	1768.39	1769.51	1452	0	0
2020.07.02	02:00:00	1769.51	1770.95	1767.59	1768.15	1737	0	0
2020.07.02	03:00:00	1768.15	1768.97	1766.28	1768.39	2404	0	0
2020.07.02	04:00:00	1768.44	1769.87	1765.67	1769.33	3960	0	0
2020.07.02	05:00:00	1769.31	1770.32	1767.57	1767.99	2305	0	0
2020.07.02	06:00:00	1767.89	1768.97	1767.0	1768.77	2079	0	0
2020.07.02	07:00:00	1768.84	1768.92	1767.53	1767.55	1156	0	0
2020.07.02	08:00:00	1767.55	1767.74	1764.22	1766.06	3182	0	0
2020.07.02	09:00:00	1766.0	1768.49	1765.73	1767.84	4258	0	0
2020.07.02	10:00:00	1767.97	1770.26	1767.28	1768.97	4820	0	0
2020.07.02	11:00:00	1769.0	1772.42	1768.74	1772.2	4515	0	0
2020.07.02	12:00:00	1772.2	1773.24	1770.74	1773.03	4247	0	0
2020.07.02	13:00:00	1773.04	1774.39	1771.94	1772.11	4308	0	0
2020.07.02	14:00:00	1772.06	1773.77	1771.59	1772.58	3416	0	0
2020.07.02	15:00:00	1772.57	1772.84	1760.24	1760.32	11813	0	0
2020.07.02	16:00:00	1760.39	1774.26	1757.42	1773.51	12240	0	0
2020.07.02	17:00:00	1773.51	1778.82	1772.22	1775.46	11494	0	0
2020.07.02	18:00:00	1775.46	1779.43	1774.87	1778.0	9010	0	0
2020.07.02	19:00:00	1777.95	1778.16	1773.79	1776.46	8191	0	0
2020.07.02	20:00:00	1776.43	1778.09	1776.0	1776.88	5520	0	0
2020.07.02	21:00:00	1776.9	1777.36	1775.84	1777.03	4465	0	0
2020.07.02	22:00:00	1777.06	1777.24	1774.72	1775.49	4117	0	0
2020.07.02	23:00:00	1775.56	1776.23	1774.4	1775.22	1352	0	0
2020.07.03	01:00:00	1775.28	1776.99	1775.1	1775.72	1327	0	0
2020.07.03	02:00:00	1775.73	1776.26	1775.35	1775.54	1170	0	0
2020.07.03	03:00:00	1775.5	1776.52	1773.04	1774.81	2224	0	0
2020.07.03	04:00:00	1774.72	1777.01	1774.72	1775.72	3120	0	0
2020.07.03	05:00:00	1775.68	1776.84	1774.43	1776.7	2151	0	0
2020.07.03	06:00:00	1776.71	1776.95	1775.24	1775.53	1591	0	0
2020.07.03	07:00:00	1775.47	1776.05	1772.69	1774.14	2401	0	0
2020.07.03	08:00:00	1774.16	1775.5	1772.51	1774.23	2679	0	0
2020.07.03	09:00:00	1774.23	1776.29	1772.65	1775.59	3893	0	0
2020.07.03	10:00:00	1775.6	1776.76	1774.6	1775.5	3753	0	0
2020.07.03	11:00:00	1775.52	1776.23	1773.49	1776.02	4120	0	0
2020.07.03	12:00:00	1776.01	1776.21	1773.84	1774.63	3542	0	0
2020.07.03	13:00:00	1774.54	1776.75	1774.08	1775.76	3357	0	0
2020.07.03	14:00:00	1775.77	1776.97	1774.88	1775.74	3145	0	0
2020.07.03	15:00:00	1775.75	1776.25	1774.54	1775.43	3162	0	0
2020.07.03	16:00:00	1775.44	1776.05	1773.29	1773.81	4541	0	0
2020.07.03	17:00:00	1773.82	1775.81	1773.1	1774.85	5292	0	0
2020.07.03	18:00:00	1774.84	1776.0	1774.35	1775.04	3894	0	0
2020.07.03	19:00:00	1775.02	1776.23	1774.23	1774.82	2039	0	0
2020.07.03	20:00:00	1774.54	1774.54	1773.54	1773.54	2	0	0
2020.07.06	01:00:00	1773.33	1774.79	1772.34	1774.31	1245	0	0
2020.07.06	02:00:00	1774.34	1775.98	1773.44	1775.27	1147	0	0
2020.07.06	03:00:00	1775.26	1776.77	1774.95	1775.58	1844	0	0
2020.07.06	04:00:00	1775.51	1776.19	1771.35	1772.67	4107	0	0
2020.07.06	05:00:00	1772.81	1774.25	1769.89	1773.73	3501	0	0
2020.07.06	06:00:00	1773.77	1774.26	1771.91	1772.05	2466	0	0
2020.07.06	07:00:00	1772.04	1773.32	1771.37	1772.27	1930	0	0
2020.07.06	08:00:00	1772.28	1773.72	1772.17	1772.53	2714	0	0
2020.07.06	09:00:00	1772.55	1776.75	1772.21	1776.58	4747	0	0
2020.07.06	10:00:00	1776.62	1777.86	1775.5	1775.91	6085	0	0
2020.07.06	11:00:00	1775.92	1777.73	1774.97	1776.72	4876	0	0
2020.07.06	12:00:00	1776.69	1778.76	1774.33	1775.17	4188	0	0
2020.07.06	13:00:00	1775.18	1776.22	1774.02	1775.77	4489	0	0
2020.07.06	14:00:00	1775.79	1779.54	1775.62	1779.24	5503	0	0
2020.07.06	15:00:00	1779.25	1785.32	1777.2	1783.17	8175	0	0
2020.07.06	16:00:00	1783.17	1786.88	1782.25	1784.17	10106	0	0
2020.07.06	17:00:00	1784.2	1786.28	1779.09	1782.23	10489	0	0
2020.07.06	18:00:00	1782.24	1785.16	1781.26	1783.62	7334	0	0
2020.07.06	19:00:00	1783.61	1784.47	1781.58	1783.27	5291	0	0
2020.07.06	20:00:00	1783.27	1784.47	1782.84	1783.48	5652	0	0
2020.07.06	21:00:00	1783.47	1785.95	1782.92	1785.27	4549	0	0
2020.07.06	22:00:00	1785.27	1786.87	1784.73	1786.33	5249	0	0
2020.07.06	23:00:00	1786.33	1786.81	1783.99	1784.09	1445	0	0
2020.07.07	01:00:00	1783.11	1786.33	1783.11	1786.11	1212	0	0
2020.07.07	02:00:00	1786.11	1786.32	1784.52	1785.76	1610	0	0
2020.07.07	03:00:00	1785.71	1786.24	1783.41	1785.6	2257	0	0
2020.07.07	04:00:00	1785.58	1787.02	1783.43	1784.5	4201	0	0
2020.07.07	05:00:00	1784.46	1785.25	1782.54	1782.79	2830	0	0
2020.07.07	06:00:00	1782.74	1784.82	1782.54	1784.36	1938	0	0
2020.07.07	07:00:00	1784.41	1785.01	1783.69	1783.69	1214	0	0
2020.07.07	08:00:00	1783.69	1784.79	1782.4	1784.2	2354	0	0
2020.07.07	09:00:00	1784.18	1785.04	1781.99	1782.62	3686	0	0
2020.07.07	10:00:00	1782.6	1784.05	1780.18	1780.69	6039	0	0
2020.07.07	11:00:00	1780.64	1781.2	1774.63	1778.05	6328	0	0
2020.07.07	12:00:00	1777.95	1778.17	1773.42	1776.8	6634	0	0
2020.07.07	13:00:00	1776.77	1777.27	1774.73	1776.26	5122	0	0
2020.07.07	14:00:00	1776.18	1778.29	1775.55	1777.71	4694	0	0
2020.07.07	15:00:00	1777.71	1780.22	1775.5	1778.6	6525	0	0
2020.07.07	16:00:00	1778.56	1786.3	1778.36	1784.84	9286	0	0
2020.07.07	17:00:00	1784.85	1796.23	1784.85	1793.87	12169	0	0
2020.07.07	18:00:00	1793.87	1796.42	1792.65	1795.09	8501	0	0
2020.07.07	19:00:00	1795.24	1796.47	1793.68	1795.9	7906	0	0
2020.07.07	20:00:00	1796.02	1797.05	1794.83	1796.6	6057	0	0
2020.07.07	21:00:00	1796.61	1796.73	1795.09	1795.56	5964	0	0
2020.07.07	22:00:00	1795.55	1797.26	1794.7	1797.05	5760	0	0
2020.07.07	23:00:00	1797.06	1797.16	1794.12	1794.63	1535	0	0
2020.07.08	01:00:00	1794.85	1795.74	1793.24	1794.56	1228	0	0
2020.07.08	02:00:00	1794.56	1795.37	1794.19	1794.26	1177	0	0
2020.07.08	03:00:00	1794.26	1796.46	1792.48	1793.39	2758	0	0
2020.07.08	04:00:00	1793.39	1795.02	1793.0	1794.19	3415	0	0
2020.07.08	05:00:00	1794.19	1794.5	1791.37	1793.02	2970	0	0
2020.07.08	06:00:00	1793.02	1795.02	1792.26	1794.24	2062	0	0
2020.07.08	07:00:00	1794.23	1795.19	1792.35	1794.78	1861	0	0
2020.07.08	08:00:00	1794.75	1795.3	1793.65	1794.23	2096	0	0
2020.07.08	09:00:00	1794.15	1795.0	1792.44	1794.84	2929	0	0
2020.07.08	10:00:00	1794.83	1796.09	1792.64	1796.08	4839	0	0
2020.07.08	11:00:00	1796.12	1800.5	1796.02	1799.48	6107	0	0
2020.07.08	12:00:00	1799.42	1802.87	1798.37	1802.67	5684	0	0
2020.07.08	13:00:00	1802.67	1804.0	1800.6	1802.62	4619	0	0
2020.07.08	14:00:00	1802.58	1804.58	1800.15	1804.37	4210	0	0
2020.07.08	15:00:00	1804.39	1804.73	1801.81	1803.65	6339	0	0
2020.07.08	16:00:00	1803.66	1815.12	1803.59	1810.26	11908	0	0
2020.07.08	17:00:00	1810.25	1818.0	1809.17	1811.71	10499	0	0
2020.07.08	18:00:00	1811.9	1813.75	1808.64	1811.3	10704	0	0
2020.07.08	19:00:00	1811.29	1813.93	1811.25	1812.43	7740	0	0
2020.07.08	20:00:00	1812.44	1813.82	1809.57	1810.44	6735	0	0
2020.07.08	21:00:00	1810.43	1811.08	1806.59	1808.4	5950	0	0
2020.07.08	22:00:00	1808.39	1810.65	1808.04	1809.26	4665	0	0
2020.07.08	23:00:00	1809.28	1809.29	1808.16	1808.5	1215	0	0
2020.07.09	01:00:00	1808.36	1810.56	1808.36	1809.28	1233	0	0
2020.07.09	02:00:00	1809.22	1810.01	1807.99	1809.01	1336	0	0
2020.07.09	03:00:00	1809.01	1809.72	1805.9	1806.81	2737	0	0
2020.07.09	04:00:00	1806.77	1810.07	1806.18	1809.49	3877	0	0
2020.07.09	05:00:00	1809.45	1810.06	1808.5	1808.9	2145	0	0
2020.07.09	06:00:00	1808.91	1809.43	1807.8	1809.27	1975	0	0
2020.07.09	07:00:00	1809.26	1811.99	1808.97	1811.62	2556	0	0
2020.07.09	08:00:00	1811.62	1812.89	1810.71	1811.29	3518	0	0
2020.07.09	09:00:00	1811.3	1814.13	1809.63	1813.76	4681	0	0
2020.07.09	10:00:00	1813.67	1813.98	1810.09	1812.57	4901	0	0
2020.07.09	11:00:00	1812.59	1815.84	1811.76	1814.58	6037	0	0
2020.07.09	12:00:00	1814.57	1815.3	1812.24	1812.99	4841	0	0
2020.07.09	13:00:00	1812.98	1814.83	1805.62	1808.29	6100	0	0
2020.07.09	14:00:00	1808.35	1809.99	1805.98	1807.98	6388	0	0
2020.07.09	15:00:00	1807.98	1812.54	1804.81	1811.37	8323	0	0
2020.07.09	16:00:00	1811.24	1814.08	1808.82	1811.91	9300	0	0
2020.07.09	17:00:00	1811.9	1815.39	1805.28	1806.13	12366	0	0
2020.07.09	18:00:00	1806.1	1808.49	1795.6	1801.0	12221	0	0
2020.07.09	19:00:00	1800.82	1801.37	1797.86	1799.86	7648	0	0
2020.07.09	20:00:00	1799.83	1801.32	1798.37	1800.97	5792	0	0
2020.07.09	21:00:00	1800.89	1804.83	1800.48	1804.33	4521	0	0
2020.07.09	22:00:00	1804.38	1805.0	1801.75	1803.72	4777	0	0
2020.07.09	23:00:00	1803.77	1803.82	1801.97	1803.19	1195	0	0
2020.07.10	01:00:00	1800.32	1803.99	1800.32	1803.39	982	0	0
2020.07.10	02:00:00	1803.3	1804.11	1802.98	1803.84	1182	0	0
2020.07.10	03:00:00	1803.91	1804.06	1801.03	1803.03	2362	0	0
2020.07.10	04:00:00	1803.01	1804.11	1800.76	1803.13	3764	0	0
2020.07.10	05:00:00	1803.14	1803.26	1799.97	1800.02	2316	0	0
2020.07.10	06:00:00	1800.05	1801.45	1799.19	1801.11	2273	0	0
2020.07.10	07:00:00	1801.15	1801.89	1800.79	1801.15	1364	0	0
2020.07.10	08:00:00	1801.18	1801.55	1795.59	1796.1	3551	0	0
2020.07.10	09:00:00	1796.1	1799.03	1795.92	1796.32	4716	0	0
2020.07.10	10:00:00	1796.34	1800.33	1795.89	1799.36	4451	0	0
2020.07.10	11:00:00	1799.34	1805.29	1799.34	1804.93	5309	0	0
2020.07.10	12:00:00	1804.98	1806.95	1804.59	1806.55	4653	0	0
2020.07.10	13:00:00	1806.57	1809.1	1805.85	1808.27	3529	0	0
2020.07.10	14:00:00	1808.25	1808.96	1805.89	1806.33	3534	0	0
2020.07.10	15:00:00	1806.35	1810.36	1805.55	1807.17	6224	0	0
2020.07.10	16:00:00	1807.17	1810.04	1803.34	1803.35	9158	0	0
2020.07.10	17:00:00	1803.33	1806.53	1801.31	1802.27	9783	0	0
2020.07.10	18:00:00	1802.27	1802.67	1795.47	1797.86	8360	0	0
2020.07.10	19:00:00	1797.86	1800.26	1793.93	1794.39	7213	0	0
2020.07.10	20:00:00	1794.24	1800.25	1794.19	1799.39	5039	0	0
2020.07.10	21:00:00	1799.29	1799.68	1796.64	1799.58	3496	0	0
2020.07.10	22:00:00	1799.54	1800.5	1797.52	1799.22	4051	0	0
2020.07.10	23:00:00	1799.25	1799.33	1797.62	1798.06	1431	0	0
2020.07.13	01:00:00	1799.52	1801.01	1797.49	1800.5	1799	0	0
2020.07.13	02:00:00	1800.47	1801.25	1799.65	1799.94	1668	0	0
2020.07.13	03:00:00	1799.92	1801.84	1799.74	1800.95	2419	0	0
2020.07.13	04:00:00	1800.92	1803.81	1800.0	1802.19	3954	0	0
2020.07.13	05:00:00	1802.2	1804.57	1802.2	1804.15	2475	0	0
2020.07.13	06:00:00	1804.14	1804.75	1803.01	1803.06	1869	0	0
2020.07.13	07:00:00	1803.06	1804.49	1802.51	1804.13	2056	0	0
2020.07.13	08:00:00	1804.22	1807.24	1804.01	1807.13	3463	0	0
2020.07.13	09:00:00	1807.13	1807.63	1805.87	1806.82	4340	0	0
2020.07.13	10:00:00	1806.87	1808.06	1804.69	1804.84	4210	0	0
2020.07.13	11:00:00	1804.87	1808.39	1803.92	1807.5	4670	0	0
2020.07.13	12:00:00	1807.52	1809.91	1807.49	1808.16	4226	0	0
2020.07.13	13:00:00	1808.25	1809.48	1807.34	1808.81	3696	0	0
2020.07.13	14:00:00	1808.79	1809.86	1808.14	1809.01	4118	0	0
2020.07.13	15:00:00	1808.96	1809.86	1806.02	1807.42	6444	0	0
2020.07.13	16:00:00	1807.45	1813.18	1806.16	1809.52	10150	0	0
2020.07.13	17:00:00	1809.43	1810.27	1801.94	1807.55	10306	0	0
2020.07.13	18:00:00	1807.55	1809.22	1804.57	1807.26	7485	0	0
