<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2021.09.01	01:00:00	1814.24	1814.54	1813.53	1813.87	685	0	0
2021.09.01	02:00:00	1813.89	1814.89	1813.64	1814.42	686	0	0
2021.09.01	03:00:00	1814.41	1814.5	1811.96	1812.27	1352	0	0
2021.09.01	04:00:00	1812.18	1815.3	1810.17	1812.0	3602	0	0
2021.09.01	05:00:00	1812.01	1814.1	1811.51	1813.92	2962	0	0
2021.09.01	06:00:00	1813.95	1815.5	1813.13	1815.22	1816	0	0
2021.09.01	07:00:00	1815.14	1815.87	1814.05	1814.9	1032	0	0
2021.09.01	08:00:00	1814.95	1815.57	1812.56	1815.34	2342	0	0
2021.09.01	09:00:00	1815.26	1816.94	1814.85	1816.19	4737	0	0
2021.09.01	10:00:00	1816.16	1816.66	1810.99	1811.26	5030	0	0
2021.09.01	11:00:00	1811.26	1812.01	1809.34	1810.71	3689	0	0
2021.09.01	12:00:00	1810.71	1814.44	1810.54	1813.0	3328	0	0
2021.09.01	13:00:00	1813.07	1813.96	1812.64	1813.51	1950	0	0
2021.09.01	14:00:00	1813.42	1814.2	1811.26	1812.85	2732	0	0
2021.09.01	15:00:00	1812.9	1819.93	1811.67	1819.29	7554	0	0
2021.09.01	16:00:00	1819.25	1819.93	1811.15	1812.82	8952	0	0
2021.09.01	17:00:00	1812.89	1814.62	1809.58	1809.79	8651	0	0
2021.09.01	18:00:00	1809.72	1815.36	1808.62	1815.34	4731	0	0
2021.09.01	19:00:00	1815.34	1816.42	1812.97	1813.25	2693	0	0
2021.09.01	20:00:00	1813.25	1813.8	1811.92	1812.61	1717	0	0
2021.09.01	21:00:00	1812.56	1813.36	1812.14	1813.16	1428	0	0
2021.09.01	22:00:00	1813.1	1815.0	1812.91	1814.7	1177	0	0
2021.09.01	23:00:00	1814.66	1814.66	1813.51	1814.08	536	0	0
2021.09.02	01:00:00	1813.65	1814.08	1813.52	1813.82	397	0	0
2021.09.02	02:00:00	1813.91	1814.02	1812.74	1813.01	453	0	0
2021.09.02	03:00:00	1812.91	1815.13	1812.82	1814.3	1701	0	0
2021.09.02	04:00:00	1814.39	1815.96	1813.01	1813.51	2282	0	0
2021.09.02	05:00:00	1813.62	1814.59	1813.01	1813.18	1539	0	0
2021.09.02	06:00:00	1813.19	1813.3	1811.11	1811.17	1156	0	0
2021.09.02	07:00:00	1811.12	1812.01	1810.67	1810.91	672	0	0
2021.09.02	08:00:00	1810.78	1814.44	1810.78	1814.28	1024	0	0
2021.09.02	09:00:00	1814.31	1815.28	1813.53	1814.85	3199	0	0
2021.09.02	10:00:00	1814.87	1815.07	1812.22	1814.69	2999	0	0
2021.09.02	11:00:00	1814.6	1815.78	1814.07	1815.56	2586	0	0
2021.09.02	12:00:00	1815.56	1816.98	1814.64	1816.82	2307	0	0
2021.09.02	13:00:00	1816.73	1817.08	1815.14	1815.22	1623	0	0
2021.09.02	14:00:00	1815.16	1816.0	1813.0	1815.47	2255	0	0
2021.09.02	15:00:00	1815.43	1816.25	1809.39	1813.7	5834	0	0
2021.09.02	16:00:00	1813.73	1813.73	1809.11	1812.38	7271	0	0
2021.09.02	17:00:00	1812.39	1813.48	1804.73	1812.48	8172	0	0
2021.09.02	18:00:00	1812.46	1813.3	1807.99	1808.96	3916	0	0
2021.09.02	19:00:00	1808.86	1809.76	1806.91	1809.09	2558	0	0
2021.09.02	20:00:00	1809.07	1809.9	1807.87	1809.63	1791	0	0
2021.09.02	21:00:00	1809.63	1811.01	1808.34	1809.17	1779	0	0
2021.09.02	22:00:00	1809.16	1810.37	1808.97	1809.74	1318	0	0
2021.09.02	23:00:00	1809.75	1810.21	1809.17	1809.44	371	0	0
2021.09.03	01:00:00	1809.25	1809.67	1808.95	1809.01	677	0	0
2021.09.03	02:00:00	1809.05	1809.52	1809.02	1809.35	631	0	0
2021.09.03	03:00:00	1809.38	1811.01	1808.87	1811.01	965	0	0
2021.09.03	04:00:00	1810.98	1813.15	1810.48	1812.87	2453	0	0
2021.09.03	05:00:00	1812.87	1814.74	1812.39	1813.31	2051	0	0
2021.09.03	06:00:00	1813.21	1813.96	1812.48	1812.48	1016	0	0
2021.09.03	07:00:00	1812.4	1812.45	1811.29	1811.58	637	0	0
2021.09.03	08:00:00	1811.58	1812.84	1810.53	1812.56	1396	0	0
2021.09.03	09:00:00	1812.52	1813.5	1811.76	1813.11	3199	0	0
2021.09.03	10:00:00	1813.16	1814.33	1810.89	1811.2	2799	0	0
2021.09.03	11:00:00	1811.2	1813.03	1811.09	1811.48	1965	0	0
2021.09.03	12:00:00	1811.51	1813.72	1811.28	1813.43	1957	0	0
2021.09.03	13:00:00	1813.42	1813.88	1812.72	1813.49	1504	0	0
2021.09.03	14:00:00	1813.49	1815.31	1813.49	1814.62	2724	0	0
2021.09.03	15:00:00	1814.61	1829.12	1812.87	1823.34	9733	0	0
2021.09.03	16:00:00	1823.43	1826.47	1819.2	1824.64	11092	0	0
2021.09.03	17:00:00	1824.58	1831.02	1821.7	1830.21	8419	0	0
2021.09.03	18:00:00	1830.2	1833.92	1827.59	1829.33	5796	0	0
2021.09.03	19:00:00	1829.25	1830.31	1827.97	1830.02	2363	0	0
2021.09.03	20:00:00	1829.98	1832.68	1829.54	1831.14	1933	0	0
2021.09.03	21:00:00	1831.04	1831.35	1829.8	1830.41	1493	0	0
2021.09.03	22:00:00	1830.41	1830.5	1828.22	1828.52	1207	0	0
2021.09.03	23:00:00	1828.51	1828.82	1827.18	1827.55	908	0	0
2021.09.06	01:00:00	1828.23	1830.17	1827.6	1828.46	1371	0	0
2021.09.06	02:00:00	1828.47	1828.64	1827.43	1827.55	1020	0	0
2021.09.06	03:00:00	1827.55	1827.75	1825.49	1825.69	1620	0	0
2021.09.06	04:00:00	1825.72	1828.4	1825.12	1827.27	3852	0	0
2021.09.06	05:00:00	1827.3	1828.1	1826.56	1827.51	1941	0	0
2021.09.06	06:00:00	1827.48	1827.81	1825.51	1825.7	1427	0	0
2021.09.06	07:00:00	1825.8	1826.84	1825.6	1826.37	691	0	0
2021.09.06	08:00:00	1826.42	1827.87	1825.41	1827.62	1624	0	0
2021.09.06	09:00:00	1827.51	1828.21	1826.27	1826.45	3290	0	0
2021.09.06	10:00:00	1826.45	1826.98	1825.43	1825.91	2919	0	0
2021.09.06	11:00:00	1825.91	1826.93	1823.8	1824.72	2815	0	0
2021.09.06	12:00:00	1824.8	1825.59	1823.51	1824.56	2553	0	0
2021.09.06	13:00:00	1824.56	1824.83	1822.69	1823.87	1834	0	0
2021.09.06	14:00:00	1823.83	1824.78	1822.86	1823.83	1948	0	0
2021.09.06	15:00:00	1823.83	1823.84	1822.29	1822.5	2216	0	0
2021.09.06	16:00:00	1822.5	1824.06	1821.63	1823.29	3137	0	0
2021.09.06	17:00:00	1823.29	1823.38	1821.31	1821.69	2310	0	0
2021.09.06	18:00:00	1821.61	1822.97	1821.32	1821.92	1269	0	0
2021.09.06	19:00:00	1821.83	1823.42	1821.83	1823.05	1099	0	0
2021.09.07	01:00:00	1823.77	1823.77	1821.84	1822.53	723	0	0
2021.09.07	02:00:00	1822.54	1824.11	1822.52	1823.49	667	0	0
2021.09.07	03:00:00	1823.38	1826.18	1823.18	1825.9	1563	0	0
2021.09.07	04:00:00	1825.94	1827.17	1825.45	1826.41	2819	0	0
2021.09.07	05:00:00	1826.4	1827.12	1825.11	1826.06	1849	0	0
2021.09.07	06:00:00	1826.01	1826.07	1822.61	1823.14	1840	0	0
2021.09.07	07:00:00	1823.08	1823.33	1821.14	1821.46	1544	0	0
2021.09.07	08:00:00	1821.44	1821.69	1816.89	1818.35	2808	0	0
2021.09.07	09:00:00	1818.34	1818.83	1815.59	1818.64	4217	0	0
2021.09.07	10:00:00	1818.65	1820.5	1817.44	1817.58	3824	0	0
2021.09.07	11:00:00	1817.56	1817.67	1813.05	1814.68	4360	0	0
2021.09.07	12:00:00	1814.69	1814.82	1809.97	1810.4	4122	0	0
2021.09.07	13:00:00	1810.47	1812.1	1809.57	1810.36	4047	0	0
2021.09.07	14:00:00	1810.37	1811.16	1808.29	1810.9	3875	0	0
2021.09.07	15:00:00	1810.74	1813.15	1808.48	1808.64	5619	0	0
2021.09.07	16:00:00	1808.69	1814.96	1808.4	1809.69	7839	0	0
2021.09.07	17:00:00	1809.5	1809.89	1791.55	1796.73	10044	0	0
2021.09.07	18:00:00	1796.7	1798.4	1792.27	1797.28	5787	0	0
2021.09.07	19:00:00	1797.28	1798.77	1794.24	1795.81	2821	0	0
2021.09.07	20:00:00	1795.9	1797.11	1795.42	1796.45	1534	0	0
2021.09.07	21:00:00	1796.52	1798.1	1796.06	1796.15	1456	0	0
2021.09.07	22:00:00	1796.25	1796.84	1793.09	1793.57	1898	0	0
2021.09.07	23:00:00	1793.6	1794.5	1793.34	1794.13	893	0	0
2021.09.08	01:00:00	1794.78	1795.62	1794.6	1795.24	732	0	0
