<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2021.10.01	01:00:00	1756.19	1756.77	1755.25	1755.36	1072	0	0
2021.10.01	02:00:00	1755.42	1755.49	1752.83	1753.04	1349	0	0
2021.10.01	03:00:00	1753.09	1753.67	1751.13	1751.41	2938	0	0
2021.10.01	04:00:00	1751.51	1756.25	1750.56	1754.62	3592	0	0
2021.10.01	05:00:00	1754.69	1756.83	1753.34	1755.41	2193	0	0
2021.10.01	06:00:00	1755.4	1755.82	1751.93	1753.96	1819	0	0
2021.10.01	07:00:00	1753.96	1754.27	1750.98	1753.55	2052	0	0
2021.10.01	08:00:00	1753.59	1753.59	1750.83	1752.07	2146	0	0
2021.10.01	09:00:00	1752.19	1756.75	1751.06	1755.68	5727	0	0
2021.10.01	10:00:00	1755.68	1757.16	1751.69	1753.07	5903	0	0
2021.10.01	11:00:00	1753.11	1753.85	1751.26	1752.84	5447	0	0
2021.10.01	12:00:00	1752.84	1756.62	1752.84	1754.93	4712	0	0
2021.10.01	13:00:00	1754.92	1755.57	1753.11	1753.12	3419	0	0
2021.10.01	14:00:00	1753.14	1756.05	1751.97	1754.49	5125	0	0
2021.10.01	15:00:00	1754.54	1759.78	1749.66	1756.55	7864	0	0
2021.10.01	16:00:00	1756.58	1759.82	1754.55	1757.36	8364	0	0
2021.10.01	17:00:00	1757.38	1764.24	1752.47	1758.67	9825	0	0
2021.10.01	18:00:00	1758.71	1762.53	1755.75	1761.51	6874	0	0
2021.10.01	19:00:00	1761.55	1762.75	1759.25	1759.33	3833	0	0
2021.10.01	20:00:00	1759.34	1760.15	1757.68	1759.12	3376	0	0
2021.10.01	21:00:00	1759.14	1759.78	1758.41	1758.86	2066	0	0
2021.10.01	22:00:00	1758.88	1760.2	1757.21	1759.97	1560	0	0
2021.10.01	23:00:00	1759.94	1760.7	1759.27	1760.34	653	0	0
2021.10.04	01:00:00	1760.71	1765.15	1760.2	1763.81	2441	0	0
2021.10.04	02:00:00	1763.82	1765.12	1762.75	1763.12	1278	0	0
2021.10.04	03:00:00	1763.04	1765.63	1762.72	1763.97	2515	0	0
2021.10.04	04:00:00	1764.09	1765.33	1762.08	1762.08	2320	0	0
2021.10.04	05:00:00	1762.12	1762.42	1758.37	1758.97	2587	0	0
2021.10.04	06:00:00	1758.98	1759.67	1757.74	1758.71	1165	0	0
2021.10.04	07:00:00	1758.72	1761.64	1758.63	1760.6	1600	0	0
2021.10.04	08:00:00	1760.61	1762.03	1760.21	1761.3	1437	0	0
2021.10.04	09:00:00	1761.4	1762.63	1756.5	1757.73	4831	0	0
2021.10.04	10:00:00	1757.72	1758.35	1752.96	1753.38	6343	0	0
2021.10.04	11:00:00	1753.48	1755.4	1748.78	1751.49	5171	0	0
2021.10.04	12:00:00	1751.46	1752.35	1750.21	1750.78	3098	0	0
2021.10.04	13:00:00	1750.76	1751.49	1748.5	1749.15	3255	0	0
2021.10.04	14:00:00	1749.19	1754.38	1747.67	1753.44	4858	0	0
2021.10.04	15:00:00	1753.52	1758.24	1751.2	1755.04	5655	0	0
2021.10.04	16:00:00	1755.05	1755.05	1748.42	1752.08	7862	0	0
2021.10.04	17:00:00	1752.08	1770.43	1752.08	1766.36	11724	0	0
2021.10.04	18:00:00	1766.38	1767.84	1762.63	1765.44	7836	0	0
2021.10.04	19:00:00	1765.43	1770.1	1765.04	1768.94	5379	0	0
2021.10.04	20:00:00	1768.92	1768.94	1763.93	1764.13	3910	0	0
2021.10.04	21:00:00	1764.15	1767.03	1763.63	1766.88	3586	0	0
2021.10.04	22:00:00	1766.61	1768.73	1763.58	1768.67	4108	0	0
2021.10.04	23:00:00	1768.68	1769.43	1767.7	1769.34	1490	0	0
2021.10.05	01:00:00	1769.53	1769.53	1767.94	1768.68	1097	0	0
2021.10.05	02:00:00	1768.7	1769.06	1767.33	1768.06	1134	0	0
2021.10.05	03:00:00	1768.0	1768.3	1765.68	1765.82	2120	0	0
2021.10.05	04:00:00	1765.82	1766.72	1763.17	1764.15	2081	0	0
2021.10.05	05:00:00	1764.16	1764.95	1761.6	1761.94	1655	0	0
2021.10.05	06:00:00	1761.84	1761.85	1759.39	1759.93	1717	0	0
2021.10.05	07:00:00	1759.93	1760.09	1757.65	1759.13	1858	0	0
2021.10.05	08:00:00	1759.18	1760.57	1756.27	1758.03	2249	0	0
2021.10.05	09:00:00	1758.05	1759.22	1755.2	1757.15	4984	0	0
2021.10.05	10:00:00	1757.14	1760.95	1755.34	1759.16	5832	0	0
2021.10.05	11:00:00	1759.16	1760.12	1755.68	1755.73	4317	0	0
2021.10.05	12:00:00	1755.75	1758.23	1755.52	1757.82	2976	0	0
2021.10.05	13:00:00	1757.78	1758.08	1754.11	1754.19	3582	0	0
2021.10.05	14:00:00	1754.23	1758.28	1753.53	1756.98	4407	0	0
2021.10.05	15:00:00	1757.0	1761.34	1755.71	1756.45	6569	0	0
2021.10.05	16:00:00	1756.49	1757.15	1750.25	1752.97	9234	0	0
2021.10.05	17:00:00	1752.89	1754.03	1748.54	1752.54	8374	0	0
2021.10.05	18:00:00	1752.56	1761.12	1751.25	1760.8	7003	0	0
2021.10.05	19:00:00	1760.8	1761.18	1757.93	1759.81	3219	0	0
2021.10.05	20:00:00	1759.82	1762.89	1758.95	1761.7	2964	0	0
2021.10.05	21:00:00	1761.61	1762.92	1761.05	1761.61	2738	0	0
2021.10.05	22:00:00	1761.62	1761.81	1759.56	1760.16	2079	0	0
2021.10.05	23:00:00	1760.15	1760.38	1759.45	1759.81	877	0	0
2021.10.06	01:00:00	1759.76	1760.12	1759.51	1759.67	575	0	0
2021.10.06	02:00:00	1759.72	1760.08	1758.96	1759.26	690	0	0
2021.10.06	03:00:00	1759.24	1759.34	1757.22	1757.58	2437	0	0
2021.10.06	04:00:00	1757.58	1758.41	1755.87	1757.27	2593	0	0
2021.10.06	05:00:00	1757.22	1757.94	1754.21	1755.55	2422	0	0
2021.10.06	06:00:00	1755.55	1756.01	1754.47	1755.56	1196	0	0
2021.10.06	07:00:00	1755.56	1755.61	1751.42	1752.53	2196	0	0
2021.10.06	08:00:00	1752.55	1754.35	1750.9	1751.08	2284	0	0
2021.10.06	09:00:00	1751.0	1754.73	1750.47	1752.31	5109	0	0
2021.10.06	10:00:00	1752.31	1753.01	1747.28	1747.77	7113	0	0
2021.10.06	11:00:00	1747.75	1749.93	1745.88	1746.92	6350	0	0
2021.10.06	12:00:00	1746.96	1749.25	1746.74	1748.55	5559	0	0
2021.10.06	13:00:00	1748.54	1750.79	1747.96	1750.26	4731	0	0
2021.10.06	14:00:00	1750.27	1756.78	1750.27	1754.29	5850	0	0
2021.10.06	15:00:00	1754.44	1761.04	1753.26	1759.14	8733	0	0
2021.10.06	16:00:00	1759.16	1760.72	1754.88	1758.67	8280	0	0
2021.10.06	17:00:00	1758.71	1764.25	1757.27	1759.89	9175	0	0
2021.10.06	18:00:00	1759.93	1762.28	1755.75	1762.0	6250	0	0
2021.10.06	19:00:00	1762.02	1763.12	1760.66	1762.38	4070	0	0
2021.10.06	20:00:00	1762.4	1763.7	1760.33	1761.9	4002	0	0
2021.10.06	21:00:00	1761.97	1764.47	1761.69	1763.49	3886	0	0
2021.10.06	22:00:00	1763.5	1764.99	1763.37	1764.33	3157	0	0
2021.10.06	23:00:00	1764.36	1764.74	1762.28	1762.57	1416	0	0
2021.10.07	01:00:00	1762.96	1763.47	1762.21	1762.32	936	0	0
2021.10.07	02:00:00	1762.35	1764.12	1762.33	1763.9	1354	0	0
2021.10.07	03:00:00	1763.93	1764.13	1762.53	1762.63	2292	0	0
2021.10.07	04:00:00	1762.54	1762.95	1760.49	1760.49	1779	0	0
2021.10.07	05:00:00	1760.48	1760.73	1758.33	1758.75	2069	0	0
2021.10.07	06:00:00	1758.75	1760.15	1757.66	1760.06	2021	0	0
2021.10.07	07:00:00	1760.06	1760.06	1758.86	1759.01	1374	0	0
2021.10.07	08:00:00	1758.95	1760.77	1756.4	1756.4	2618	0	0
2021.10.07	09:00:00	1756.37	1764.05	1755.97	1763.06	4613	0	0
2021.10.07	10:00:00	1762.95	1766.86	1762.24	1765.92	5541	0	0
2021.10.07	11:00:00	1765.91	1766.01	1760.29	1760.74	4342	0	0
2021.10.07	12:00:00	1760.71	1761.18	1758.12	1759.89	4225	0	0
2021.10.07	13:00:00	1759.87	1762.5	1759.57	1762.19	2679	0	0
2021.10.07	14:00:00	1762.13	1764.67	1760.98	1761.4	4228	0	0
2021.10.07	15:00:00	1761.46	1762.84	1754.03	1755.1	6631	0	0
2021.10.07	16:00:00	1755.04	1759.44	1751.88	1758.76	9087	0	0
2021.10.07	17:00:00	1758.76	1763.1	1756.27	1756.51	7248	0	0
2021.10.07	18:00:00	1756.53	1759.9	1756.35	1758.32	4755	0	0
2021.10.07	19:00:00	1758.35	1759.84	1757.0	1758.02	3573	0	0
2021.10.07	20:00:00	1758.05	1758.95	1757.37	1757.76	2572	0	0
2021.10.07	21:00:00	1757.8	1757.88	1755.14	1755.84	2918	0	0
2021.10.07	22:00:00	1755.81	1756.94	1754.68	1755.41	2685	0	0
2021.10.07	23:00:00	1755.42	1758.03	1754.28	1755.01	1330	0	0
2021.10.08	01:00:00	1755.91	1756.13	1755.27	1755.29	631	0	0
2021.10.08	02:00:00	1755.28	1755.45	1754.48	1755.12	787	0	0
2021.10.08	03:00:00	1755.1	1756.25	1753.33	1755.8	1936	0	0
2021.10.08	04:00:00	1755.81	1759.08	1755.43	1758.42	4789	0	0
2021.10.08	05:00:00	1758.42	1760.35	1757.77	1759.64	3031	0	0
2021.10.08	06:00:00	1759.74	1760.46	1759.03	1759.21	1629	0	0
2021.10.08	07:00:00	1759.21	1759.31	1756.56	1756.57	1437	0	0
2021.10.08	08:00:00	1756.55	1758.78	1755.87	1757.36	2944	0	0
2021.10.08	09:00:00	1757.36	1760.24	1757.18	1758.56	3861	0	0
2021.10.08	10:00:00	1758.48	1759.67	1754.29	1756.29	5009	0	0
2021.10.08	11:00:00	1756.29	1756.43	1754.87	1755.7	3131	0	0
2021.10.08	12:00:00	1755.7	1759.74	1755.67	1759.23	3210	0	0
2021.10.08	13:00:00	1759.24	1760.48	1758.0	1759.67	2901	0	0
2021.10.08	14:00:00	1759.7	1763.16	1759.7	1761.66	3768	0	0
2021.10.08	15:00:00	1761.66	1776.74	1761.26	1775.76	10479	0	0
2021.10.08	16:00:00	1775.76	1781.23	1769.28	1772.57	12608	0	0
2021.10.08	17:00:00	1772.59	1774.05	1755.43	1758.87	11114	0	0
2021.10.08	18:00:00	1758.87	1760.03	1756.63	1758.53	6668	0	0
2021.10.08	19:00:00	1758.52	1759.88	1756.61	1758.42	4241	0	0
2021.10.08	20:00:00	1758.46	1759.62	1756.67	1759.46	4098	0	0
2021.10.08	21:00:00	1759.42	1760.13	1757.35	1758.03	2839	0	0
2021.10.08	22:00:00	1758.03	1758.52	1756.52	1756.91	2561	0	0
2021.10.08	23:00:00	1756.99	1757.19	1755.94	1757.1	1050	0	0
2021.10.11	01:00:00	1757.66	1758.08	1751.05	1755.11	2474	0	0
2021.10.11	02:00:00	1755.11	1755.55	1753.51	1753.93	1876	0	0
2021.10.11	03:00:00	1753.96	1757.83	1753.83	1756.7	2781	0	0
2021.10.11	04:00:00	1756.7	1760.88	1755.16	1759.99	4972	0	0
2021.10.11	05:00:00	1760.01	1760.35	1758.6	1759.28	3197	0	0
2021.10.11	06:00:00	1759.26	1759.95	1755.02	1755.44	3114	0	0
2021.10.11	07:00:00	1755.39	1756.97	1754.83	1756.74	1731	0	0
2021.10.11	08:00:00	1756.72	1757.72	1754.61	1756.78	2370	0	0
2021.10.11	09:00:00	1756.77	1757.25	1753.82	1755.16	4968	0	0
2021.10.11	10:00:00	1754.86	1757.24	1753.44	1757.15	4458	0	0
2021.10.11	11:00:00	1757.14	1757.15	1752.83	1753.04	3369	0	0
2021.10.11	12:00:00	1753.04	1754.79	1752.22	1754.67	3575	0	0
2021.10.11	13:00:00	1754.67	1756.3	1753.55	1753.66	3061	0	0
2021.10.11	14:00:00	1753.6	1755.48	1752.98	1754.79	3379	0	0
