<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2020.10.01	01:00:00	1885.54	1888.75	1884.78	1888.75	1180	0	0
2020.10.01	02:00:00	1888.66	1888.66	1886.8	1887.54	1195	0	0
2020.10.01	03:00:00	1887.54	1888.26	1884.4	1884.91	2427	0	0
2020.10.01	04:00:00	1884.94	1891.0	1884.8	1887.6	3175	0	0
2020.10.01	05:00:00	1887.6	1892.51	1887.5	1892.39	1827	0	0
2020.10.01	06:00:00	1892.37	1892.75	1890.75	1892.3	1227	0	0
2020.10.01	07:00:00	1892.3	1895.35	1891.9	1894.43	1384	0	0
2020.10.01	08:00:00	1894.43	1894.5	1892.24	1892.6	1504	0	0
2020.10.01	09:00:00	1892.61	1899.71	1892.5	1896.73	3734	0	0
2020.10.01	10:00:00	1896.73	1900.32	1894.51	1896.98	5759	0	0
2020.10.01	11:00:00	1896.98	1897.3	1893.17	1894.27	4305	0	0
2020.10.01	12:00:00	1894.27	1898.23	1893.04	1897.52	4308	0	0
2020.10.01	13:00:00	1897.48	1898.13	1895.24	1896.45	3608	0	0
2020.10.01	14:00:00	1896.48	1902.08	1895.3	1900.61	4399	0	0
2020.10.01	15:00:00	1900.59	1909.18	1896.93	1903.62	8866	0	0
2020.10.01	16:00:00	1903.62	1906.7	1900.26	1902.09	12429	0	0
2020.10.01	17:00:00	1902.28	1905.26	1896.06	1904.08	14158	0	0
2020.10.01	18:00:00	1904.08	1912.13	1904.08	1910.71	10768	0	0
2020.10.01	19:00:00	1910.57	1911.13	1906.2	1908.44	11213	0	0
2020.10.01	20:00:00	1908.5	1911.64	1905.6	1906.31	11011	0	0
2020.10.01	21:00:00	1906.4	1909.84	1904.61	1909.58	12332	0	0
2020.10.01	22:00:00	1909.11	1910.48	1903.6	1903.61	10324	0	0
2020.10.01	23:00:00	1903.6	1906.36	1903.45	1905.7	4398	0	0
2020.10.02	01:00:00	1904.18	1907.4	1904.1	1905.5	1142	0	0
2020.10.02	02:00:00	1905.5	1905.6	1902.55	1903.14	910	0	0
2020.10.02	03:00:00	1902.98	1903.54	1899.2	1900.31	2455	0	0
2020.10.02	04:00:00	1900.4	1901.3	1897.57	1897.7	2076	0	0
2020.10.02	05:00:00	1897.7	1898.25	1891.06	1893.15	2631	0	0
2020.10.02	06:00:00	1893.13	1896.05	1891.85	1894.4	1720	0	0
2020.10.02	07:00:00	1894.4	1895.6	1890.1	1891.01	1902	0	0
2020.10.02	08:00:00	1891.05	1909.0	1889.56	1905.23	7857	0	0
2020.10.02	09:00:00	1905.4	1917.0	1905.31	1912.6	7150	0	0
2020.10.02	10:00:00	1912.62	1915.42	1907.51	1909.66	6422	0	0
2020.10.02	11:00:00	1909.59	1912.71	1905.18	1905.95	6478	0	0
2020.10.02	12:00:00	1905.99	1910.08	1905.21	1907.48	4794	0	0
2020.10.02	13:00:00	1907.48	1909.44	1905.85	1907.79	5154	0	0
2020.10.02	14:00:00	1907.79	1910.57	1906.35	1908.08	6319	0	0
2020.10.02	15:00:00	1907.5	1911.77	1905.33	1911.53	10921	0	0
2020.10.02	16:00:00	1911.53	1911.7	1897.81	1902.94	12798	0	0
2020.10.02	17:00:00	1902.86	1907.21	1900.43	1903.6	10933	0	0
2020.10.02	18:00:00	1903.58	1909.73	1899.5	1900.43	9764	0	0
2020.10.02	19:00:00	1900.43	1905.59	1898.31	1901.38	6345	0	0
2020.10.02	20:00:00	1901.33	1903.2	1898.45	1900.78	4988	0	0
2020.10.02	21:00:00	1900.8	1903.65	1900.68	1903.03	3701	0	0
2020.10.02	22:00:00	1903.0	1904.45	1901.25	1901.55	3994	0	0
2020.10.02	23:00:00	1901.36	1901.98	1896.92	1898.88	1368	0	0
2020.10.05	01:00:00	1904.89	1904.89	1897.75	1900.1	1787	0	0
2020.10.05	02:00:00	1900.2	1904.23	1899.31	1902.75	1797	0	0
2020.10.05	03:00:00	1902.75	1903.03	1898.5	1900.65	2855	0	0
2020.10.05	04:00:00	1900.65	1900.98	1897.51	1900.51	2489	0	0
2020.10.05	05:00:00	1900.5	1900.9	1897.41	1899.15	1939	0	0
2020.10.05	06:00:00	1899.15	1899.15	1891.65	1892.51	2404	0	0
2020.10.05	07:00:00	1892.53	1893.95	1891.2	1893.0	1635	0	0
2020.10.05	08:00:00	1893.1	1894.77	1892.15	1894.5	1336	0	0
2020.10.05	09:00:00	1894.4	1894.5	1890.78	1893.04	3427	0	0
2020.10.05	10:00:00	1892.72	1893.25	1886.99	1892.28	5539	0	0
2020.10.05	11:00:00	1892.28	1898.31	1891.82	1897.84	3861	0	0
2020.10.05	12:00:00	1897.85	1901.47	1897.39	1900.61	3365	0	0
2020.10.05	13:00:00	1900.61	1900.7	1897.63	1900.09	2368	0	0
2020.10.05	14:00:00	1900.08	1903.04	1898.53	1901.91	3155	0	0
2020.10.05	15:00:00	1901.91	1908.33	1901.88	1906.68	5929	0	0
2020.10.05	16:00:00	1906.88	1910.55	1905.5	1908.59	7677	0	0
2020.10.05	17:00:00	1907.68	1918.71	1907.68	1916.92	12577	0	0
2020.10.05	18:00:00	1916.92	1917.3	1912.31	1914.14	9576	0	0
2020.10.05	19:00:00	1914.15	1917.24	1911.95	1916.34	4607	0	0
2020.10.05	20:00:00	1916.42	1916.52	1913.8	1915.45	3216	0	0
2020.10.05	21:00:00	1915.45	1915.45	1913.13	1913.95	4165	0	0
2020.10.05	22:00:00	1913.95	1914.08	1910.55	1910.85	4294	0	0
2020.10.05	23:00:00	1910.65	1914.65	1910.65	1912.78	1152	0	0
2020.10.06	01:00:00	1912.08	1913.1	1910.15	1912.4	1132	0	0
2020.10.06	02:00:00	1912.4	1913.4	1911.18	1912.6	1369	0	0
2020.10.06	03:00:00	1912.6	1914.1	1911.1	1914.1	2296	0	0
2020.10.06	04:00:00	1913.9	1914.44	1909.3	1910.75	2401	0	0
2020.10.06	05:00:00	1910.75	1911.25	1908.22	1909.8	1457	0	0
2020.10.06	06:00:00	1909.8	1912.38	1909.25	1911.8	1620	0	0
2020.10.06	07:00:00	1911.9	1912.3	1909.55	1912.1	1305	0	0
2020.10.06	08:00:00	1912.0	1912.3	1910.05	1910.9	1625	0	0
2020.10.06	09:00:00	1910.9	1912.14	1909.05	1911.26	2208	0	0
2020.10.06	10:00:00	1911.08	1914.69	1908.18	1909.39	5195	0	0
2020.10.06	11:00:00	1909.4	1910.65	1906.34	1909.54	4084	0	0
2020.10.06	12:00:00	1909.54	1913.73	1909.02	1912.38	3552	0	0
2020.10.06	13:00:00	1912.23	1913.55	1911.28	1913.13	2662	0	0
2020.10.06	14:00:00	1913.15	1917.93	1912.55	1917.56	4669	0	0
2020.10.06	15:00:00	1917.56	1919.08	1912.01	1915.77	6800	0	0
