<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2020.12.01	01:00:00	1776.73	1779.15	1775.31	1778.57	1338	0	0
2020.12.01	02:00:00	1778.67	1779.57	1776.69	1778.07	1374	0	0
2020.12.01	03:00:00	1777.97	1780.57	1777.51	1778.8	2916	0	0
2020.12.01	04:00:00	1778.82	1783.37	1778.82	1782.82	2402	0	0
2020.12.01	05:00:00	1782.72	1785.87	1782.52	1784.37	2323	0	0
2020.12.01	06:00:00	1784.45	1786.92	1783.28	1784.07	1695	0	0
2020.12.01	07:00:00	1784.07	1788.22	1783.42	1787.03	2308	0	0
2020.12.01	08:00:00	1787.03	1787.97	1784.42	1786.03	2646	0	0
2020.12.01	09:00:00	1785.92	1791.76	1785.52	1791.03	3647	0	0
2020.12.01	10:00:00	1790.83	1794.57	1789.13	1793.82	5775	0	0
2020.12.01	11:00:00	1793.67	1795.18	1790.96	1794.78	4498	0	0
2020.12.01	12:00:00	1794.81	1799.28	1794.59	1798.97	4001	0	0
2020.12.01	13:00:00	1798.97	1810.05	1798.97	1806.45	6767	0	0
2020.12.01	14:00:00	1806.45	1808.78	1802.97	1808.11	6163	0	0
2020.12.01	15:00:00	1808.11	1813.2	1806.31	1812.7	9307	0	0
2020.12.01	16:00:00	1812.8	1815.08	1807.32	1808.66	10738	0	0
2020.12.01	17:00:00	1808.63	1812.08	1804.82	1810.28	11006	0	0
2020.12.01	18:00:00	1810.22	1812.05	1807.28	1810.36	8939	0	0
2020.12.01	19:00:00	1810.42	1815.06	1810.28	1812.86	6722	0	0
2020.12.01	20:00:00	1812.87	1817.27	1812.6	1814.35	4380	0	0
2020.12.01	21:00:00	1814.31	1815.66	1813.12	1813.5	2985	0	0
2020.12.01	22:00:00	1813.52	1815.02	1813.25	1814.37	2846	0	0
2020.12.01	23:00:00	1814.37	1815.47	1813.97	1814.65	1162	0	0
2020.12.02	01:00:00	1815.04	1815.04	1810.17	1810.87	1311	0	0
2020.12.02	02:00:00	1810.83	1814.28	1810.83	1813.8	1551	0	0
2020.12.02	03:00:00	1813.82	1815.37	1811.17	1812.87	3554	0	0
2020.12.02	04:00:00	1812.87	1814.13	1808.67	1808.77	2430	0	0
2020.12.02	05:00:00	1808.73	1810.97	1808.62	1810.17	2084	0	0
2020.12.02	06:00:00	1810.17	1811.07	1809.21	1809.4	1071	0	0
2020.12.02	07:00:00	1809.4	1811.52	1807.12	1809.87	2944	0	0
2020.12.02	08:00:00	1809.67	1814.22	1809.67	1812.76	2578	0	0
2020.12.02	09:00:00	1812.76	1816.73	1810.47	1815.61	3563	0	0
2020.12.02	10:00:00	1815.6	1826.26	1813.98	1824.95	5845	0	0
2020.12.02	11:00:00	1824.95	1827.12	1821.56	1825.04	4045	0	0
2020.12.02	12:00:00	1825.03	1832.29	1823.87	1829.71	4103	0	0
2020.12.02	13:00:00	1829.77	1830.16	1825.3	1825.47	3018	0	0
2020.12.02	14:00:00	1825.67	1825.78	1815.9	1820.48	5989	0	0
2020.12.02	15:00:00	1820.17	1826.08	1812.57	1815.88	8533	0	0
2020.12.02	16:00:00	1815.94	1820.85	1813.62	1818.42	8700	0	0
2020.12.02	17:00:00	1818.4	1826.92	1818.4	1826.54	8590	0	0
2020.12.02	18:00:00	1826.44	1829.5	1825.68	1826.73	5343	0	0
2020.12.02	19:00:00	1826.74	1827.18	1824.62	1825.92	3523	0	0
2020.12.02	20:00:00	1825.9	1829.27	1825.23	1829.07	2066	0	0
2020.12.02	21:00:00	1828.98	1830.55	1827.82	1829.43	3298	0	0
2020.12.02	22:00:00	1829.45	1830.12	1827.54	1828.22	2772	0	0
2020.12.02	23:00:00	1828.2	1831.67	1827.97	1830.15	1390	0	0
2020.12.03	01:00:00	1830.43	1831.6	1828.45	1830.48	1179	0	0
2020.12.03	02:00:00	1830.43	1830.63	1827.55	1828.47	1923	0	0
2020.12.03	03:00:00	1828.47	1830.82	1826.12	1826.37	3116	0	0
2020.12.03	04:00:00	1826.4	1829.77	1826.27	1829.17	2049	0	0
2020.12.03	05:00:00	1828.98	1836.97	1828.97	1835.02	3196	0	0
2020.12.03	06:00:00	1835.12	1836.3	1832.42	1835.52	1700	0	0
2020.12.03	07:00:00	1835.62	1835.67	1832.31	1834.02	2499	0	0
2020.12.03	08:00:00	1833.92	1835.42	1830.33	1832.85	3585	0	0
2020.12.03	09:00:00	1832.76	1842.63	1832.62	1842.32	4153	0	0
2020.12.03	10:00:00	1842.32	1843.34	1837.37	1840.71	4130	0	0
2020.12.03	11:00:00	1840.71	1841.58	1834.7	1837.76	3362	0	0
2020.12.03	12:00:00	1837.76	1840.23	1834.52	1839.11	3202	0	0
2020.12.03	13:00:00	1839.2	1842.55	1837.67	1842.55	2993	0	0
2020.12.03	14:00:00	1842.44	1844.05	1839.66	1841.12	4339	0	0
2020.12.03	15:00:00	1841.12	1841.83	1834.62	1836.17	8327	0	0
2020.12.03	16:00:00	1835.67	1843.22	1830.25	1831.31	11144	0	0
2020.12.03	17:00:00	1831.4	1837.42	1829.38	1830.95	9065	0	0
2020.12.03	18:00:00	1830.99	1834.41	1823.48	1834.35	8385	0	0
2020.12.03	19:00:00	1834.34	1838.13	1832.5	1837.82	5310	0	0
2020.12.03	20:00:00	1837.72	1838.88	1835.25	1837.45	3465	0	0
2020.12.03	21:00:00	1837.45	1840.48	1837.41	1840.25	2615	0	0
2020.12.03	22:00:00	1840.15	1842.07	1838.75	1842.03	3298	0	0
2020.12.03	23:00:00	1842.03	1842.2	1839.92	1840.05	1145	0	0
2020.12.04	01:00:00	1839.76	1841.36	1839.28	1839.57	899	0	0
2020.12.04	02:00:00	1839.61	1842.48	1839.12	1840.97	1526	0	0
2020.12.04	03:00:00	1840.88	1841.18	1837.82	1838.97	2961	0	0
2020.12.04	04:00:00	1838.98	1844.37	1837.97	1844.07	2604	0	0
2020.12.04	05:00:00	1843.98	1844.6	1841.67	1842.23	2103	0	0
2020.12.04	06:00:00	1842.23	1842.62	1839.92	1840.42	880	0	0
2020.12.04	07:00:00	1840.33	1841.37	1838.22	1838.32	2412	0	0
2020.12.04	08:00:00	1838.33	1843.57	1837.62	1843.37	3045	0	0
2020.12.04	09:00:00	1843.28	1844.07	1839.4	1839.77	3132	0	0
2020.12.04	10:00:00	1839.74	1843.2	1837.52	1840.55	3632	0	0
2020.12.04	11:00:00	1840.55	1843.62	1839.56	1842.22	2850	0	0
2020.12.04	12:00:00	1842.22	1844.28	1838.52	1839.6	3361	0	0
2020.12.04	13:00:00	1839.61	1842.9	1838.37	1841.47	2445	0	0
2020.12.04	14:00:00	1841.42	1842.72	1840.67	1841.32	2571	0	0
2020.12.04	15:00:00	1841.32	1847.63	1832.71	1837.48	10493	0	0
2020.12.04	16:00:00	1837.62	1848.13	1837.62	1842.79	12132	0	0
2020.12.04	17:00:00	1842.97	1843.2	1828.95	1832.05	11119	0	0
2020.12.04	18:00:00	1831.98	1834.15	1830.58	1833.18	6205	0	0
2020.12.04	19:00:00	1833.17	1835.63	1832.45	1834.08	3687	0	0
2020.12.04	20:00:00	1834.17	1836.57	1833.57	1835.45	2848	0	0
2020.12.04	21:00:00	1835.45	1837.3	1834.58	1836.72	2292	0	0
2020.12.04	22:00:00	1836.62	1837.57	1835.52	1836.5	2037	0	0
2020.12.04	23:00:00	1836.49	1839.61	1836.35	1837.91	1353	0	0
2020.12.07	01:00:00	1837.21	1838.71	1832.81	1835.12	2330	0	0
2020.12.07	02:00:00	1835.12	1839.31	1834.91	1836.77	3114	0	0
2020.12.07	03:00:00	1836.45	1838.92	1834.47	1837.5	4407	0	0
2020.12.07	04:00:00	1837.5	1839.27	1836.62	1838.97	2451	0	0
2020.12.07	05:00:00	1838.98	1839.51	1835.87	1837.54	2602	0	0
2020.12.07	06:00:00	1837.54	1839.41	1836.43	1838.87	1680	0	0
2020.12.07	07:00:00	1838.95	1842.12	1838.77	1841.82	2618	0	0
2020.12.07	08:00:00	1841.92	1842.25	1838.67	1839.17	3149	0	0
2020.12.07	09:00:00	1839.17	1841.74	1837.55	1837.95	3349	0	0
2020.12.07	10:00:00	1837.92	1838.76	1821.85	1827.87	7574	0	0
2020.12.07	11:00:00	1827.87	1832.72	1826.54	1831.72	4847	0	0
2020.12.07	12:00:00	1831.72	1834.07	1830.47	1831.62	3712	0	0
2020.12.07	13:00:00	1831.52	1831.81	1827.38	1830.41	3803	0	0
2020.12.07	14:00:00	1830.27	1834.25	1828.95	1833.72	3791	0	0
2020.12.07	15:00:00	1833.71	1840.17	1830.28	1839.28	6484	0	0
2020.12.07	16:00:00	1839.08	1857.37	1837.95	1856.57	9898	0	0
2020.12.07	17:00:00	1856.67	1867.02	1856.67	1864.22	11862	0	0
2020.12.07	18:00:00	1864.3	1868.5	1863.26	1864.33	6651	0	0
2020.12.07	19:00:00	1864.18	1866.47	1863.48	1865.42	3810	0	0
2020.12.07	20:00:00	1865.42	1865.61	1860.32	1861.92	4337	0	0
2020.12.07	21:00:00	1861.92	1861.92	1858.92	1859.52	2842	0	0
2020.12.07	22:00:00	1859.58	1863.85	1857.92	1863.8	2809	0	0
2020.12.07	23:00:00	1863.81	1865.37	1861.2	1862.21	1441	0	0
2020.12.08	01:00:00	1863.2	1865.27	1859.49	1863.86	1272	0	0
2020.12.08	02:00:00	1863.7	1864.55	1862.17	1863.67	1402	0	0
2020.12.08	03:00:00	1863.65	1866.32	1860.87	1863.77	4068	0	0
2020.12.08	04:00:00	1863.87	1869.17	1863.38	1867.48	2335	0	0
2020.12.08	05:00:00	1867.48	1870.17	1867.05	1869.37	2168	0	0
2020.12.08	06:00:00	1869.47	1871.62	1867.61	1870.02	2232	0	0
2020.12.08	07:00:00	1869.92	1870.57	1866.42	1867.27	2327	0	0
2020.12.08	08:00:00	1867.27	1869.52	1866.23	1866.92	2853	0	0
2020.12.08	09:00:00	1866.92	1867.67	1864.49	1865.15	3464	0	0
