<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2020.08.03	01:00:00	1979.48	1987.14	1977.86	1983.74	4387	0	0
2020.08.03	02:00:00	1983.76	1984.27	1976.99	1981.85	3968	0	0
2020.08.03	03:00:00	1981.82	1982.23	1972.89	1976.03	5241	0	0
2020.08.03	04:00:00	1976.03	1977.05	1969.54	1972.82	5908	0	0
2020.08.03	05:00:00	1972.86	1975.5	1970.03	1974.63	3516	0	0
2020.08.03	06:00:00	1974.7	1974.83	1972.2	1973.8	2270	0	0
2020.08.03	07:00:00	1973.79	1974.11	1972.22	1973.66	1719	0	0
2020.08.03	08:00:00	1973.65	1977.02	1973.61	1976.77	3476	0	0
2020.08.03	09:00:00	1976.79	1977.5	1970.63	1972.53	5248	0	0
2020.08.03	10:00:00	1972.56	1974.72	1970.14	1972.99	5775	0	0
2020.08.03	11:00:00	1973.07	1974.81	1971.67	1973.27	6153	0	0
2020.08.03	12:00:00	1973.29	1974.31	1970.97	1971.09	4565	0	0
2020.08.03	13:00:00	1971.05	1971.13	1965.65	1967.71	6527	0	0
2020.08.03	14:00:00	1967.71	1972.07	1967.48	1970.19	4685	0	0
2020.08.03	15:00:00	1970.14	1972.55	1965.87	1967.7	6704	0	0
2020.08.03	16:00:00	1967.7	1971.33	1961.51	1963.95	9827	0	0
2020.08.03	17:00:00	1963.88	1974.35	1960.24	1973.94	11142	0	0
2020.08.03	18:00:00	1973.9	1976.47	1967.89	1968.35	9087	0	0
2020.08.03	19:00:00	1968.31	1970.85	1966.42	1970.53	5759	0	0
2020.08.03	20:00:00	1970.54	1974.35	1970.3	1973.74	5701	0	0
2020.08.03	21:00:00	1973.86	1976.01	1972.85	1974.4	5070	0	0
2020.08.03	22:00:00	1974.39	1977.58	1974.38	1976.45	4856	0	0
2020.08.03	23:00:00	1976.44	1976.91	1973.68	1976.44	1905	0	0
2020.08.04	01:00:00	1976.44	1977.48	1971.55	1973.31	1688	0	0
2020.08.04	02:00:00	1973.27	1975.57	1972.45	1975.2	1443	0	0
2020.08.04	03:00:00	1975.2	1975.79	1972.72	1972.9	2495	0	0
2020.08.04	04:00:00	1972.9	1978.46	1971.8	1974.97	4544	0	0
2020.08.04	05:00:00	1974.97	1977.2	1974.9	1975.9	2874	0	0
2020.08.04	06:00:00	1975.9	1976.64	1973.28	1973.98	2710	0	0
2020.08.04	07:00:00	1973.98	1975.18	1971.31	1974.55	2556	0	0
2020.08.04	08:00:00	1974.52	1976.55	1973.1	1976.06	2332	0	0
2020.08.04	09:00:00	1976.06	1977.09	1971.35	1973.01	5088	0	0
2020.08.04	10:00:00	1973.01	1978.8	1972.65	1977.76	5953	0	0
2020.08.04	11:00:00	1977.68	1977.81	1974.57	1976.47	5025	0	0
2020.08.04	12:00:00	1976.54	1977.27	1973.26	1974.65	4309	0	0
2020.08.04	13:00:00	1974.64	1976.19	1973.58	1974.29	3492	0	0
2020.08.04	14:00:00	1974.31	1974.86	1965.65	1971.95	5858	0	0
2020.08.04	15:00:00	1971.94	1977.7	1971.37	1972.21	6858	0	0
2020.08.04	16:00:00	1972.2	1976.95	1971.26	1976.1	8323	0	0
2020.08.04	17:00:00	1976.09	1994.29	1975.13	1991.78	13079	0	0
2020.08.04	18:00:00	1991.82	1996.55	1989.89	1994.94	10102	0	0
2020.08.04	19:00:00	1995.06	2000.38	1992.49	1999.54	9316	0	0
2020.08.04	20:00:00	1999.48	2006.5	1998.44	2005.86	8706	0	0
2020.08.04	21:00:00	2005.83	2009.3	2000.53	2004.87	8171	0	0
2020.08.04	22:00:00	2004.7	2017.55	2004.2	2016.78	8158	0	0
2020.08.04	23:00:00	2016.82	2019.85	2014.34	2018.9	4373	0	0
2020.08.05	01:00:00	2018.65	2026.18	2017.16	2021.01	5098	0	0
2020.08.05	02:00:00	2021.01	2030.93	2020.17	2030.93	3605	0	0
2020.08.05	03:00:00	2030.89	2030.89	2012.79	2020.57	7112	0	0
2020.08.05	04:00:00	2020.61	2021.06	2014.77	2016.41	6512	0	0
2020.08.05	05:00:00	2016.57	2016.82	2009.31	2015.27	6341	0	0
