rank,candidate_id,phase,signal_name,strategy_name,score,tick_pnl,max_drawdown_pct,win_rate_pct,profit_factor,max_consecutive_losing_signals,max_daily_loss,loss_count,worst_single_signal_loss,wins,losses,flats,generated_signals,tick_covered_signals,tick_coverage_pct,no_tick_signals,no_fill_signals,max_loss_signal,passes_dd25_gate,passes_dd40_gate,error
41,c00f1b525941a3a4,june,sd_return_quality_london_ny,e6_scaleout_bep,-7754.52,-2249.46,7.23,27.78,0.622,5,1870.74,13,497.16,5,13,17,62,35,56.45,27,17,-497.16,False,False,
42,9aa28c407ae408bd,june,round_sr_quality_ny_core,e5_s23_m90_tp2_defensive,-8638.75,-4515.95,10.75,40.54,0.49,4,1429.15,22,486.6,15,22,21,80,58,72.5,22,21,-486.6,False,False,
43,423aaffd2da25120,june,trend_pullback_quality_ny_core,e7_s20_m180_tp3_hold,-8776.1,-884.1,11.5,32.26,0.944,6,2724.89,42,492.45,20,42,38,126,100,79.37,26,38,-492.45,False,False,
44,de57227565c203cc,june,round_sr_quality_ny_core,e4_scaleout_low_dd,-8974.72,-4726.44,11.13,40.54,0.483,4,1487.92,22,499.68,15,22,21,80,58,72.5,22,21,-499.68,False,False,
45,da84e6fff198a651,june,round_sr_quality_all,e6_s21_m120_tp2_fastlock,-9281.54,-3747.48,17.04,46.34,0.8,4,2057.16,44,493.08,38,44,31,160,113,70.62,47,31,-493.08,False,False,
46,5de96545b075ba99,june,sd_return_quality_ny_core,e6_s21_m120_tp2_fastlock,-9293.06,-3148.8,8.47,29.41,0.428,5,2194.74,12,497.16,5,12,8,45,25,55.56,20,8,-497.16,False,False,
47,f25c6c0d5f0ba864,june,sd_return_quality_all,e6_s21_m150_bep,-9298.06,-3385.44,8.56,28.12,0.67,5,2007.72,23,497.16,9,23,18,83,50,60.24,33,18,-497.16,False,False,
48,232f7ddc856a7a91,june,sd_return_quality_all,e6_scaleout_bep,-9298.06,-3385.44,8.56,28.12,0.67,5,2007.72,23,497.16,9,23,18,83,50,60.24,33,18,-497.16,False,False,
49,7ea9e1b15a37762c,june,trend_pullback_quality_ny_core,e5_s23_m90_tp2_defensive,-9411.1,-4011.35,11.64,45.16,0.703,5,1845.5,34,485.1,28,34,35,126,97,76.98,29,35,-485.1,False,False,
50,447030a20c4aa045,june,round_sr_quality_london_ny,e5_s23_m90_tp2_defensive,-9547.5,-5698.4,13.32,40.0,0.516,3,1429.15,30,488.0,20,30,25,105,75,71.43,30,25,-488.0,False,False,
51,76472fc9f08a7289,june,sd_return_quality_all,e6_gap05_s18_tp2,-9655.98,-3505.08,13.15,29.03,0.657,7,1742.34,22,496.44,9,22,19,83,50,60.24,33,19,-496.44,False,False,
52,c67b44febe900567,june,trend_pullback_quality_ny_core,e6_s21_m120_tp2_fastlock,-9761.9,-4384.44,10.75,43.55,0.703,5,1807.74,35,497.16,27,35,35,126,97,76.98,29,35,-497.16,False,False,
53,e4927c22bcbb78d9,june,sd_return_quality_london_ny,e6_s21_m120_tp2_fastlock,-9799.9,-3601.44,8.75,27.78,0.395,5,2194.74,13,497.16,5,13,17,62,35,56.45,27,17,-497.16,False,False,
54,af1a5fc8accc7b07,june,trend_pullback_quality_ny_core,e4_scaleout_low_dd,-9856.08,-4332.52,12.28,45.16,0.689,5,1900.92,34,505.44,28,34,35,126,97,76.98,29,35,-505.44,False,False,
55,3be978c3eca9b22f,june,round_sr_quality_london_ny,e4_scaleout_low_dd,-9860.72,-5887.84,13.68,40.0,0.514,3,1487.92,30,499.68,20,30,25,105,75,71.43,30,25,-499.68,False,False,
56,ee050ab3f7f04048,june,trend_pullback_quality_ny_core,e6_scaleout_bep,-9866.74,-2652.24,12.92,38.71,0.832,5,2668.26,38,497.16,24,38,35,126,97,76.98,29,35,-497.16,False,False,
57,f1429eac79d14e6e,june,trend_pullback_quality_ny_core,e6_s21_m150_bep,-9866.74,-2652.24,12.92,38.71,0.832,5,2668.26,38,497.16,24,38,35,126,97,76.98,29,35,-497.16,False,False,
58,057f8841c4de2ebe,june,round_sr_quality_all,e5_s23_m90_tp2_defensive,-10018.8,-4762.4,18.54,43.9,0.737,5,1673.9,46,488.0,36,46,31,160,113,70.62,47,31,-488.0,False,False,
59,372b32d5924eea04,june,round_sr_quality_all,e4_scaleout_low_dd,-10294.8,-4852.24,19.05,43.9,0.74,5,1764.36,46,499.68,36,46,31,160,113,70.62,47,31,-499.68,False,False,
60,3786902427b9ce01,june,trend_pullback_quality_ny_core,e6_gap05_s18_tp2,-10372.04,-4622.82,11.63,37.7,0.724,5,1914.9,38,496.44,23,38,36,126,97,76.98,29,36,-496.44,False,False,
61,703e3663ae279a24,june,trend_pullback_quality_ny_core,tsl18_base,-10544.64,-2377.84,13.44,33.87,0.86,5,3079.52,41,484.32,21,41,35,126,97,76.98,29,35,-484.32,False,False,
62,d55bae135eaedb70,june,rsi65_bb08_adx18_ny_core,e5_s23_m90_tp2_defensive,-10597.05,-2934.25,17.45,48.94,0.927,7,2171.85,96,486.6,92,96,74,349,262,75.07,87,74,-486.6,False,False,
63,fcec779b37691d9c,june,rsi65_bb08_adx18_ny_core,e4_scaleout_low_dd,-11028.8,-3363.0,18.24,48.94,0.919,7,2167.84,96,505.44,92,96,74,349,262,75.07,87,74,-505.44,False,False,
64,83476276c8f0c46b,june,round_sr_quality_all,e7_s20_m180_tp3_hold,-11246.82,-3761.31,20.82,32.93,0.827,9,1814.12,55,512.54,27,55,34,160,116,72.5,44,34,-512.54,False,False,
65,a1ffccc8a6511ece,june,round_sr_quality_all,tsl18_base,-11269.68,-3640.8,21.72,32.93,0.842,9,1893.28,55,488.64,27,55,32,160,114,71.25,46,32,-488.64,False,False,
66,8be6d30dffa82202,june,rsi60_htf_vwap_london_ny,e7_s20_m180_tp3_hold,-11552.83,1459.71,19.93,38.84,1.047,10,4319.63,74,498.96,47,74,66,256,187,73.05,69,66,-498.96,False,False,
67,edda06874005876a,june,rsi60_htf_vwap_london_ny,tsl18_base,-11680.92,1603.52,19.61,35.54,1.049,10,4387.76,78,519.04,43,78,65,256,186,72.66,70,65,-519.04,False,False,
68,ff7b8a96e54970f2,june,sd_return_quality_all,e7_s20_m180_tp3_hold,-11968.59,-4919.11,11.35,21.88,0.53,7,2086.42,25,490.49,7,25,18,83,50,60.24,33,18,-490.49,False,False,
69,1e5280e61da09e3a,june,sd_return_quality_all,tsl18_base,-12059.36,-5086.16,11.11,21.88,0.537,7,2049.44,25,488.64,7,25,18,83,50,60.24,33,18,-488.64,False,False,
70,5a541390c3bd96a8,june,trend_pullback_quality_all,e6_s21_m120_tp2_fastlock,-12215.34,-2347.08,19.6,45.32,0.926,11,2585.64,76,497.16,63,76,72,270,211,78.15,59,72,-497.16,False,False,
71,720a816e0d2fff92,june,sd_return_quality_ny_core,e7_s20_m180_tp3_hold,-12250.2,-3267.74,10.65,23.53,0.438,7,3150.21,13,490.49,4,13,8,45,25,55.56,20,8,-490.49,False,False,
72,b0f3f985ba0d591b,june,round_sr_quality_ny_core,e6_s21_m120_tp2_fastlock,-12382.36,-6731.7,14.92,32.43,0.363,4,2075.16,25,493.08,12,25,21,80,58,72.5,22,21,-493.08,False,False,
73,f13dca9ee0b1516f,june,round_sr_quality_london_ny,e6_s21_m120_tp2_fastlock,-12472.54,-7291.8,16.04,36.0,0.454,3,2032.5,32,493.08,18,32,25,105,75,71.43,30,25,-493.08,False,False,
74,9e213490d987dab8,june,round_sr_quality_ny_core,e6_gap05_s18_tp2,-12713.58,-6406.32,15.55,30.56,0.441,4,2391.36,25,497.88,11,25,22,80,58,72.5,22,22,-497.88,False,False,
75,8a5d4a41124ef07e,june,round_sr_quality_all,e6_s21_m150_bep,-12717.8,-5106.96,21.88,34.15,0.763,9,1894.38,54,495.36,28,54,32,160,114,71.25,46,32,-495.36,False,False,
76,862debb72ee4acef,june,round_sr_quality_all,e6_scaleout_bep,-12717.8,-5106.96,21.88,34.15,0.763,9,1894.38,54,495.36,28,54,32,160,114,71.25,46,32,-495.36,False,False,
77,ab3df53b8deca9d6,june,sd_return_quality_london_ny,e7_s20_m180_tp3_hold,-12737.63,-3707.76,10.74,22.22,0.407,7,3150.21,14,490.49,4,14,17,62,35,56.45,27,17,-490.49,False,False,
78,30823d6bbce4d18d,june,rsi60_htf_vwap_london_ny,e6_gap05_s18_tp2,-12889.6,-1830.54,16.52,36.97,0.942,9,3507.66,75,493.08,44,75,66,256,185,72.27,71,66,-493.08,False,False,
79,8cb3249b624718fc,june,rsi60_htf_vwap_london_ny,e6_s21_m120_tp2_fastlock,-13028.73,-3203.52,15.91,40.5,0.888,9,2940.72,72,502.74,49,72,64,256,185,72.27,71,64,-502.74,False,False,
80,ab3b106fa86dbeda,june,rsi65_bb08_adx18_ny_core,e6_s21_m120_tp2_fastlock,-13094.96,-3046.38,17.59,43.62,0.93,8,3034.2,106,497.16,82,106,76,349,264,75.64,85,76,-497.16,False,False,
