rank,candidate_id,phase,signal_name,strategy_name,score,tick_pnl,max_drawdown_pct,win_rate_pct,profit_factor,max_consecutive_losing_signals,max_daily_loss,loss_count,worst_single_signal_loss,wins,losses,flats,generated_signals,tick_covered_signals,tick_coverage_pct,no_tick_signals,no_fill_signals,max_loss_signal,passes_dd25_gate,passes_dd40_gate,error
109,5fb687a1a5358b12,june,rsi65_bb08_adx18_ny_core,tsl18_base,-19451.12,-4693.76,23.95,35.11,0.911,8,5184.8,122,484.32,66,122,80,349,268,76.79,81,80,-484.32,False,False,
110,f998ba5188619fde,june,rsi65_bb08_adx18_london_ny,e5_s23_m90_tp2_defensive,-19671.0,-6405.7,21.98,47.7,0.892,11,3766.85,148,488.0,135,148,135,557,418,75.04,139,135,-488.0,False,False,
111,137905d38fa4f097,june,rsi65_bb08_adx18_london_ny,e4_scaleout_low_dd,-20275.68,-6828.52,22.71,47.7,0.889,11,3853.12,148,505.44,135,148,135,557,418,75.04,139,135,-505.44,False,False,
112,105b8598ec8b191d,june,rsi65_bb08_adx18_all,e7_s20_m180_tp3_hold,-23688.63,10226.17,30.52,39.02,1.096,12,7537.46,250,498.96,160,250,187,776,597,76.93,179,187,-498.96,False,False,
113,6d11cb233eae8b75,june,rsi65_bb08_adx18_london_ny,e6_s21_m150_bep,-27863.29,-8677.56,25.57,36.75,0.886,12,5610.78,179,502.74,104,179,141,557,424,76.12,133,141,-502.74,False,False,
114,8d95103145288d2d,june,rsi65_bb08_adx18_london_ny,e6_scaleout_bep,-27863.29,-8677.56,25.57,36.75,0.886,12,5610.78,179,502.74,104,179,141,557,424,76.12,133,141,-502.74,False,False,
115,783356a6f2686cdd,june,rsi65_bb08_adx18_all,tsl18_base,-31028.2,8906.44,34.04,37.07,1.081,12,6941.36,258,519.04,152,258,182,776,592,76.29,184,182,-519.04,False,False,
116,e37f120bdb3fbf45,june,rsi65_bb08_adx18_london_ny,e6_s21_m120_tp2_fastlock,-31391.69,-12611.4,26.46,39.58,0.817,11,4799.46,171,502.74,112,171,137,557,420,75.4,137,137,-502.74,False,False,
117,751888dc96d6ca41,june,rsi65_bb08_adx18_london_ny,e7_s20_m180_tp3_hold,-38811.0,-10913.06,28.11,34.98,0.862,12,7370.23,184,498.96,99,184,144,557,427,76.66,130,144,-498.96,False,False,
118,cbf3fbe1b9b5e3b5,june,rsi65_bb08_adx18_london_ny,e6_gap05_s18_tp2,-46522.82,-14873.62,31.36,35.13,0.811,12,6015.18,181,497.28,98,181,141,557,420,75.4,137,141,-497.28,False,False,
119,34b756b5215a4b8f,june,rsi65_bb08_adx18_all,e6_gap05_s18_tp2,-48267.76,3923.52,40.38,41.13,1.037,12,6913.82,239,497.28,167,239,182,776,588,75.77,188,182,-497.28,False,False,
120,4e44bd873c0a3537,june,rsi65_bb08_adx18_london_ny,tsl18_base,-64190.8,-16249.6,38.05,31.8,0.805,12,7341.84,193,519.04,90,193,141,557,424,76.12,133,141,-519.04,False,False,
121,b998ba57ca4ce7a5,june,base_c160_ny_core,e5_s23_m90_tp2_defensive,-100703.0,-15891.15,55.67,44.26,0.837,17,6989.95,233,499.1,185,233,164,788,582,73.86,206,164,-499.1,False,False,
122,93e3004357847c66,june,base_c160_all,e5_s23_m90_tp2_defensive,-103185.0,2995.65,58.54,45.12,1.016,17,12828.35,500,499.1,411,500,407,1747,1318,75.44,429,407,-499.1,False,False,
123,7133666047eeb02c,june,base_c160_ny_core,e4_scaleout_low_dd,-106550.22,-17018.78,57.71,44.26,0.832,17,7305.68,233,513.36,185,233,164,788,582,73.86,206,164,-513.36,False,False,
124,6b75428f2515f1be,june,base_c160_all,e4_scaleout_low_dd,-107700.1,2589.18,60.21,45.12,1.013,17,13208.8,500,513.36,411,500,407,1747,1318,75.44,429,407,-513.36,False,False,
125,232bf31ae08e1a1b,june,base_c160_all,e6_scaleout_bep,-114536.5,5729.43,66.0,36.66,1.024,17,11748.78,577,502.74,334,577,419,1747,1330,76.13,417,419,-502.74,False,False,
126,8bddff024518d543,june,base_c160_all,e6_s21_m150_bep,-114536.5,5729.43,66.0,36.66,1.024,17,11748.78,577,502.74,334,577,419,1747,1330,76.13,417,419,-502.74,False,False,
127,d7130232935076f3,june,base_c160_ny_core,e6_s21_m120_tp2_fastlock,-120481.11,-19765.65,61.62,37.8,0.816,20,8123.04,260,497.16,158,260,167,788,585,74.24,203,167,-497.16,False,False,
128,f0116eead0732176,june,base_c160_ny_core,e6_gap05_s18_tp2,-123358.1,-15627.18,64.06,35.59,0.866,20,9128.64,266,497.28,147,266,172,788,585,74.24,203,172,-497.28,False,False,
129,5233ebb7d28d9860,june,base_c160_london_ny,e5_s23_m90_tp2_defensive,-126166.5,-20031.35,62.22,43.39,0.862,17,10112.9,364,499.1,279,364,308,1258,951,75.6,307,308,-499.1,False,False,
