cell,strategy,entries,sl_multiplier,trailing_open,trailing_close,trail_after_stage,final_target,max_hold,activation_delay,est_jan_edge,tick_oos,est_jan_oos,est_jan_dd,pass_dd40,pass_dd50,f_edge,f_dd,tickmay_edge,tickmay_dd,tickmay_net,m1may_edge,m1may_dd,m1may_net,m1_jan_edge,m1_jan_oos,m1_jan_dd,m1_jan_net,jan_signals
tcal_e8_slm16_to07_tc05_mh300_ad0,TC18,8,1.6,0.7,0.5,,,300,0,88810.43,-1621.31,5080.21,56.51,False,False,0.3165,1.0012,24027.48,34.43,1563633.55,75923.41,34.39,1202733843.44,280601.66,16051.22,56.44,1.3770762272070945e+19,10140
tcal_e7_slm16_to07_tc05_mh240_ad0,TC18,7,1.6,0.7,0.5,,,240,0,88480.88,103.84,5222.0,49.7,False,True,0.3673,1.0019,23028.81,36.22,1647900.95,62689.48,36.15,806682058.92,240895.41,14217.26,49.61,8.373713373643571e+18,10140
tcal_e8_slm18_to05_tc075_mh240_ad1,TC18,8,1.8,0.5,0.75,,,240,1,88438.93,209.91,5666.71,47.03,False,True,0.3497,0.9884,23476.54,30.61,780409.4,67137.87,30.97,194193429.12,252899.42,16204.48,47.58,5.007282390293052e+16,10140
tcal_e8_slm17_to05_tc075_mh240_ad1,TC18,8,1.7,0.5,0.75,,,240,1,87962.75,-611.68,5501.39,48.52,False,True,0.3538,0.9889,23731.28,31.25,983638.54,67072.69,31.6,302202645.7,248622.81,15549.44,49.06,1.6341001006413498e+17,10140
tcal_e8_slm16_to07_tc075_mh300_ad0,TC18,8,1.6,0.7,0.75,,,300,0,87525.01,-1621.31,4977.45,56.81,False,False,0.317,1.002,23609.39,34.54,1461476.86,74467.82,34.47,955373726.7,276104.12,15701.72,56.7,7.263999081254775e+18,10140
tcal_e7_slm16_to07_tc075_mh240_ad0,TC18,7,1.6,0.7,0.75,,,240,0,87439.31,103.84,5133.6,50.18,False,False,0.3687,1.0011,22677.47,36.22,1539833.23,61498.3,36.18,645547983.68,237155.7,13923.51,50.12,4.577738563555356e+18,10140
tcal_e8_slm17_to07_tc05_mh240_ad2,TC18,8,1.7,0.7,0.5,,,240,2,86820.42,263.16,5200.51,49.19,False,True,0.365,0.9933,22796.72,34.21,825920.73,62465.11,34.44,153269161.01,237864.16,14247.97,49.52,3.291180143094327e+16,10140
tcal_e8_slm17_to07_tc05_mh300_ad0,TC18,8,1.7,0.7,0.5,,,300,0,85209.9,-1562.52,4813.86,54.91,False,False,0.3004,0.9988,23058.97,32.73,1168083.45,76764.24,32.77,745022657.43,283654.81,16024.85,54.98,2.9606516334378726e+18,10140
tcal_e8_slm18_to07_tc05_mh240_ad2,TC18,8,1.8,0.7,0.5,,,240,2,85139.65,251.83,5545.22,47.25,False,True,0.3481,0.9951,22540.27,30.58,682544.23,64745.94,30.73,140920564.06,244583.89,15929.95,47.48,1.7075875366046562e+16,10140
tcal_e7_slm17_to07_tc05_mh240_ad0,TC18,7,1.7,0.7,0.5,,,240,0,84984.85,193.39,4982.09,48.14,False,True,0.3499,1.0003,22124.03,34.7,1231685.67,63225.76,34.69,506577053.21,242883.25,14238.6,48.13,1.7271763444713805e+18,10140
tcal_e7_slm18_to07_tc05_mh240_ad0,TC18,7,1.8,0.7,0.5,,,240,0,84926.9,172.84,5315.0,45.48,False,True,0.3408,0.9782,22164.91,31.83,1009285.84,65039.77,32.54,427862887.47,249198.65,15595.66,46.49,7.275076284765683e+17,10140
tcal_e8_slm17_to07_tc075_mh300_ad0,TC18,8,1.7,0.7,0.75,,,300,0,83910.12,-1562.52,4711.1,55.24,False,False,0.3007,0.9979,22632.13,32.8,1097146.03,75269.65,32.87,602089902.6,279049.27,15667.1,55.36,1.5935026839803244e+18,10140
tcal_e7_slm17_to07_tc075_mh240_ad0,TC18,7,1.7,0.7,0.75,,,240,0,83909.11,193.39,4892.19,47.84,False,True,0.351,0.9897,21764.94,34.73,1148946.24,62002.58,35.09,412153886.25,239057.29,13937.85,48.34,9.444016151931992e+17,10140
tcal_e8_slm18_to07_tc075_mh240_ad2,TC18,8,1.8,0.7,0.75,,,240,2,83907.0,251.83,5441.57,47.45,False,True,0.3492,0.9913,22124.5,30.63,648046.87,63353.08,30.9,115712208.99,240283.5,15582.95,47.87,9637610332815646.0,10140
tcal_e7_slm18_to07_tc075_mh240_ad0,TC18,7,1.8,0.7,0.75,,,240,0,83832.24,172.84,5223.27,45.56,False,True,0.3418,0.9789,21796.82,31.97,948143.58,63777.59,32.66,349594472.53,245266.94,15281.66,46.54,4.098425391691927e+17,10140
tcal_e8_slm18_to07_tc05_mh240_ad1,TC18,8,1.8,0.7,0.5,,,240,1,83018.69,249.51,5515.17,48.24,False,True,0.3438,0.9945,22228.32,30.66,677517.88,64658.29,30.83,143871372.58,241473.78,16041.79,48.51,1.3231314657458158e+16,10140
