cell,strategy,entries,trailing_open,trailing_close,trail_after_stage,sl_multiplier,final_target,activation_delay,max_hold,jan_net,jan_dd,jan_edge,jan_oos,jan_signals,pass_dd40,pass_dd50
vcal_e7_to05_tc05_s1_slm15_TP3_ad1_mh90,VIC,7,0.5,0.5,1,1.5,TP3,1,90,5178313.03,11.44,37196.0,2444.73,1319,True,True
vcal_e8_to05_tc15_s1_slm15_TP2_ad0_mh90,VIC,8,0.5,1.5,1,1.5,TP2,0,90,2662972.94,11.54,37186.67,2711.89,1319,True,True
vcal_e7_to05_tc15_s1_slm15_TP3_ad0_mh150,VIC,7,0.5,1.5,1,1.5,TP3,0,150,4842713.49,11.62,37149.16,2480.53,1319,True,True
vcal_e7_to05_tc15_s1_slm15_TP3_ad2_mh150,VIC,7,0.5,1.5,1,1.5,TP3,2,150,4640264.08,11.63,36951.66,2451.77,1319,True,True
vcal_e8_to05_tc15_s1_slm15_TP2_ad2_mh90,VIC,8,0.5,1.5,1,1.5,TP2,2,90,2577031.49,11.52,36943.95,2637.67,1319,True,True
vcal_e8_to05_tc15_s1_slm15_TP2_ad1_mh90,VIC,8,0.5,1.5,1,1.5,TP2,1,90,2604692.48,11.53,36891.28,2617.78,1319,True,True
vcal_e7_to05_tc15_s1_slm17_TP3_ad0_mh90,VIC,7,0.5,1.5,1,1.7,TP3,0,90,2807392.55,11.57,36812.71,2388.37,1319,True,True
vcal_e7_to05_tc15_s1_slm17_TP2_ad0_mh240,VIC,7,0.5,1.5,1,1.7,TP2,0,240,2586866.58,11.76,36801.2,2522.37,1319,True,True
vcal_e7_to05_tc05_s1_slm15_TP2_ad0_mh240,VIC,7,0.5,0.5,1,1.5,TP2,0,240,4473313.19,11.54,36796.46,2638.87,1319,True,True
vcal_e7_to05_tc15_s1_slm17_TP2_ad2_mh240,VIC,7,0.5,1.5,1,1.7,TP2,2,240,2615952.91,11.71,36795.41,2419.92,1319,True,True
vcal_e7_to05_tc15_s1_slm15_TP3_ad1_mh150,VIC,7,0.5,1.5,1,1.5,TP3,1,150,4654821.26,11.64,36793.05,2434.56,1319,True,True
vcal_e7_to05_tc05_s1_slm15_TP2_ad2_mh240,VIC,7,0.5,0.5,1,1.5,TP2,2,240,4397889.28,11.52,36757.87,2536.42,1319,True,True
vcal_e7_to05_tc05_s1_slm15_TP2_ad0_mh300,VIC,7,0.5,0.5,1,1.5,TP2,0,300,4290551.95,11.52,36604.65,2640.47,1319,True,True
vcal_e7_to05_tc15_s1_slm17_TP2_ad0_mh300,VIC,7,0.5,1.5,1,1.7,TP2,0,300,2481377.6,11.72,36549.75,2541.53,1319,True,True
vcal_e7_to05_tc15_s1_slm17_TP3_ad2_mh90,VIC,7,0.5,1.5,1,1.7,TP3,2,90,2686564.89,11.57,36475.7,2324.78,1319,True,True
vcal_e7_to05_tc05_s1_slm15_TP2_ad2_mh300,VIC,7,0.5,0.5,1,1.5,TP2,2,300,4180449.3,11.53,36470.6,2538.02,1319,True,True
vcal_e7_to05_tc05_s1_slm15_TP2_ad1_mh240,VIC,7,0.5,0.5,1,1.5,TP2,1,240,4325173.0,11.53,36470.0,2522.28,1319,True,True
vcal_e7_to05_tc15_s1_slm17_TP2_ad1_mh240,VIC,7,0.5,1.5,1,1.7,TP2,1,240,2512640.66,11.75,36465.82,2405.78,1319,True,True
vcal_e7_to05_tc15_s1_slm17_TP2_ad2_mh300,VIC,7,0.5,1.5,1,1.7,TP2,2,300,2468030.66,11.72,36455.6,2439.08,1319,True,True
vcal_e7_to05_tc15_s1_slm17_TP3_ad1_mh90,VIC,7,0.5,1.5,1,1.7,TP3,1,90,2699104.69,11.59,36446.49,2306.12,1319,True,True
vcal_e8_to05_tc05_s1_slm17_TP2_ad2_mh60,VIC,8,0.5,0.5,1,1.7,TP2,2,60,1428481.94,11.26,36324.36,2229.57,1319,True,True
vcal_e7_to05_tc05_s1_slm15_TP2_ad1_mh300,VIC,7,0.5,0.5,1,1.5,TP2,1,300,4142229.41,11.55,36249.3,2523.88,1319,True,True
vcal_e8_to05_tc05_s1_slm17_TP2_ad0_mh60,VIC,8,0.5,0.5,1,1.7,TP2,0,60,1437765.31,11.3,36242.88,2365.04,1319,True,True
vcal_e7_to05_tc15_s1_slm17_TP2_ad1_mh300,VIC,7,0.5,1.5,1,1.7,TP2,1,300,2388025.58,11.76,36178.34,2424.94,1319,True,True
vcal_e8_to05_tc15_s1_slm15_TP3_ad0_mh60,VIC,8,0.5,1.5,1,1.5,TP3,0,60,2307257.82,11.35,36100.04,2235.09,1319,True,True
vcal_e8_to05_tc05_s1_slm17_TP2_ad1_mh60,VIC,8,0.5,0.5,1,1.7,TP2,1,60,1409440.47,11.31,36072.23,2233.45,1319,True,True
vcal_e7_to05_tc15_s1_slm17_TP2_ad0_mh150,VIC,7,0.5,1.5,1,1.7,TP2,0,150,2392529.71,11.76,35992.57,2415.76,1319,True,True
vcal_e8_to05_tc15_s1_slm15_TP3_ad2_mh60,VIC,8,0.5,1.5,1,1.5,TP3,2,60,2224760.85,11.35,35983.71,2107.62,1319,True,True
vcal_e7_to05_tc15_s1_slm17_TP2_ad2_mh150,VIC,7,0.5,1.5,1,1.7,TP2,2,150,2388858.07,11.74,35965.47,2387.9,1319,True,True
vcal_e7_to05_tc05_s1_slm15_TP2_ad2_mh150,VIC,7,0.5,0.5,1,1.5,TP2,2,150,4030349.8,11.52,35954.29,2519.74,1319,True,True
vcal_e7_to05_tc05_s1_slm15_TP2_ad0_mh150,VIC,7,0.5,0.5,1,1.5,TP2,0,150,4066228.41,11.52,35926.3,2548.5,1319,True,True
vcal_e8_to05_tc15_s1_slm15_TP3_ad1_mh60,VIC,8,0.5,1.5,1,1.5,TP3,1,60,2236007.37,11.35,35798.78,2111.5,1319,True,True
vcal_e7_to05_tc15_s1_slm17_TP2_ad1_mh150,VIC,7,0.5,1.5,1,1.7,TP2,1,150,2357311.01,11.74,35704.8,2367.21,1319,True,True
vcal_e7_to05_tc05_s1_slm15_TP2_ad1_mh150,VIC,7,0.5,0.5,1,1.5,TP2,1,150,3983918.81,11.53,35682.78,2502.53,1319,True,True
vcal_e8_to05_tc05_s2_slm17_TP3_ad0_mh240,VIC,8,0.5,0.5,2,1.7,TP3,0,240,1490382.48,12.27,35605.49,1904.1,1319,True,True
vcal_e7_to05_tc05_s1_slm17_TP2_ad0_mh90,VIC,7,0.5,0.5,1,1.7,TP2,0,90,2350741.94,11.52,35413.25,2508.06,1319,True,True
vcal_e7_to05_tc15_s1_slm15_TP3_ad0_mh90,VIC,7,0.5,1.5,1,1.5,TP3,0,90,4020442.54,11.52,35306.1,2368.28,1319,True,True
vcal_e7_to05_tc05_s1_slm17_TP2_ad2_mh90,VIC,7,0.5,0.5,1,1.7,TP2,2,90,2326046.46,11.5,35283.21,2437.47,1319,True,True
vcal_e8_to05_tc05_s2_slm17_TP3_ad1_mh240,VIC,8,0.5,0.5,2,1.7,TP3,1,240,1416561.08,12.33,35160.94,1718.14,1319,True,True
vcal_e7_to05_tc05_s1_slm17_TP2_ad1_mh90,VIC,7,0.5,0.5,1,1.7,TP2,1,90,2287227.04,11.48,35144.7,2418.81,1319,True,True
vcal_e8_to05_tc05_s2_slm17_TP3_ad0_mh300,VIC,8,0.5,0.5,2,1.7,TP3,0,300,1371218.74,12.27,34982.04,1749.23,1319,True,True
vcal_e7_to05_tc15_s1_slm15_TP3_ad2_mh90,VIC,7,0.5,1.5,1,1.5,TP3,2,90,3802124.03,11.51,34981.1,2304.69,1319,True,True
vcal_e7_to05_tc15_s1_slm15_TP2_ad0_mh240,VIC,7,0.5,1.5,1,1.5,TP2,0,240,3551828.23,11.61,34966.24,2481.87,1319,True,True
vcal_e7_to05_tc15_s1_slm15_TP3_ad1_mh90,VIC,7,0.5,1.5,1,1.5,TP3,1,90,3852733.49,11.5,34959.64,2286.03,1319,True,True
vcal_e7_to05_tc15_s1_slm15_TP2_ad2_mh240,VIC,7,0.5,1.5,1,1.5,TP2,2,240,3510471.93,11.62,34896.34,2379.42,1319,True,True
vcal_e7_to05_tc05_s1_slm17_TP3_ad0_mh60,VIC,7,0.5,0.5,1,1.7,TP3,0,60,2139727.29,11.28,34864.54,2095.74,1319,True,True
vcal_e8_to05_tc15_s1_slm17_TP2_ad2_mh60,VIC,8,0.5,1.5,1,1.7,TP2,2,60,1229511.31,11.38,34853.45,2112.57,1319,True,True
vcal_e7_to05_tc05_s1_slm17_TP3_ad2_mh60,VIC,7,0.5,0.5,1,1.7,TP3,2,60,2106584.87,11.3,34842.08,1978.38,1319,True,True
vcal_e8_to05_tc05_s2_slm17_TP3_ad2_mh240,VIC,8,0.5,0.5,2,1.7,TP3,2,240,1342269.71,12.28,34799.96,1723.0,1319,True,True
vcal_e8_to05_tc15_s1_slm17_TP2_ad0_mh60,VIC,8,0.5,1.5,1,1.7,TP2,0,60,1236384.26,11.36,34789.28,2240.04,1319,True,True
vcal_e8_to05_tc05_s1_slm15_TP2_ad2_mh60,VIC,8,0.5,0.5,1,1.5,TP2,2,60,1936077.13,11.23,34759.44,2202.29,1319,True,True
vcal_e7_to05_tc15_s1_slm15_TP2_ad0_mh300,VIC,7,0.5,1.5,1,1.5,TP2,0,300,3382508.83,11.59,34733.43,2483.47,1319,True,True
vcal_e8_to05_tc05_s1_slm15_TP2_ad0_mh60,VIC,8,0.5,0.5,1,1.5,TP2,0,60,1940441.12,11.25,34731.72,2337.76,1319,True,True
vcal_e8_to05_tc05_s2_slm17_TP3_ad1_mh300,VIC,8,0.5,0.5,2,1.7,TP3,1,300,1329097.34,12.27,34633.91,1563.27,1319,True,True
vcal_e7_to05_tc15_s1_slm15_TP2_ad1_mh240,VIC,7,0.5,1.5,1,1.5,TP2,1,240,3409429.6,11.59,34632.94,2365.28,1319,True,True
vcal_e7_to05_tc05_s1_slm17_TP3_ad1_mh60,VIC,7,0.5,0.5,1,1.7,TP3,1,60,2087286.27,11.29,34618.04,1980.68,1319,True,True
vcal_e8_to05_tc15_s1_slm17_TP2_ad1_mh60,VIC,8,0.5,1.5,1,1.7,TP2,1,60,1215359.15,11.38,34610.79,2116.45,1319,True,True
vcal_e7_to05_tc15_s1_slm15_TP2_ad2_mh300,VIC,7,0.5,1.5,1,1.5,TP2,2,300,3322788.43,11.6,34568.07,2381.02,1319,True,True
vcal_e8_to05_tc05_s1_slm15_TP2_ad1_mh60,VIC,8,0.5,0.5,1,1.5,TP2,1,60,1925313.4,11.27,34563.17,2206.17,1319,True,True
vcal_e7_to05_tc15_s1_slm15_TP2_ad1_mh300,VIC,7,0.5,1.5,1,1.5,TP2,1,300,3261833.31,11.59,34371.24,2366.88,1319,True,True
vcal_e7_to05_tc15_s1_slm15_TP2_ad0_mh150,VIC,7,0.5,1.5,1,1.5,TP2,0,150,3269116.35,11.63,34215.08,2396.5,1319,True,True
vcal_e7_to05_tc15_s1_slm15_TP2_ad2_mh150,VIC,7,0.5,1.5,1,1.5,TP2,2,150,3258943.75,11.59,34206.76,2367.74,1319,True,True
vcal_e8_to05_tc05_s2_slm17_TP3_ad2_mh300,VIC,8,0.5,0.5,2,1.7,TP3,2,300,1241381.05,12.29,34112.85,1562.77,1319,True,True
vcal_e7_to05_tc15_s1_slm15_TP2_ad1_mh150,VIC,7,0.5,1.5,1,1.5,TP2,1,150,3175126.24,11.63,33959.72,2350.53,1319,True,True
vcal_e7_to05_tc05_s1_slm15_TP2_ad0_mh90,VIC,7,0.5,0.5,1,1.5,TP2,0,90,3285183.33,11.45,33921.89,2487.97,1319,True,True
vcal_e8_to05_tc05_s2_slm17_TP3_ad0_mh150,VIC,8,0.5,0.5,2,1.7,TP3,0,150,1297765.82,12.28,33914.09,1699.65,1319,True,True
vcal_e7_to05_tc15_s1_slm17_TP2_ad0_mh90,VIC,7,0.5,1.5,1,1.7,TP2,0,90,1974234.92,11.57,33866.03,2371.06,1319,True,True
vcal_e8_to05_tc05_s2_slm15_TP3_ad0_mh240,VIC,8,0.5,0.5,2,1.5,TP3,0,240,1915309.07,12.16,33847.13,1819.41,1319,True,True
vcal_e7_to05_tc05_s1_slm15_TP2_ad2_mh90,VIC,7,0.5,0.5,1,1.5,TP2,2,90,3252470.15,11.43,33808.28,2417.38,1319,True,True
vcal_e7_to05_tc15_s1_slm17_TP2_ad2_mh90,VIC,7,0.5,1.5,1,1.7,TP2,2,90,1930675.87,11.56,33705.68,2307.47,1319,True,True
vcal_e7_to05_tc05_s1_slm15_TP2_ad1_mh90,VIC,7,0.5,0.5,1,1.5,TP2,1,90,3226942.45,11.4,33679.52,2398.72,1319,True,True
vcal_e7_to05_tc15_s1_slm17_TP2_ad1_mh90,VIC,7,0.5,1.5,1,1.7,TP2,1,90,1927913.21,11.55,33596.64,2288.81,1319,True,True
vcal_e8_to05_tc15_s2_slm17_TP3_ad0_mh240,VIC,8,0.5,1.5,2,1.7,TP3,0,240,1197800.57,12.35,33426.13,1788.89,1319,True,True
vcal_e7_to05_tc05_s1_slm15_TP3_ad0_mh60,VIC,7,0.5,0.5,1,1.5,TP3,0,60,3022364.07,11.21,33407.15,2080.06,1319,True,True
vcal_e7_to05_tc05_s1_slm15_TP3_ad2_mh60,VIC,7,0.5,0.5,1,1.5,TP3,2,60,2933292.45,11.21,33354.94,1962.7,1319,True,True
vcal_e8_to05_tc15_s1_slm15_TP2_ad2_mh60,VIC,8,0.5,1.5,1,1.5,TP2,2,60,1644060.55,11.37,33345.53,2085.29,1319,True,True
vcal_e8_to05_tc15_s1_slm15_TP2_ad0_mh60,VIC,8,0.5,1.5,1,1.5,TP2,0,60,1663984.69,11.32,33332.12,2212.76,1319,True,True
vcal_e8_to05_tc05_s2_slm15_TP3_ad1_mh240,VIC,8,0.5,0.5,2,1.5,TP3,1,240,1805427.04,12.2,33213.45,1661.56,1319,True,True
vcal_e7_to05_tc05_s1_slm15_TP3_ad1_mh60,VIC,7,0.5,0.5,1,1.5,TP3,1,60,2938380.66,11.2,33162.09,1965.0,1319,True,True
vcal_e8_to05_tc15_s1_slm15_TP2_ad1_mh60,VIC,8,0.5,1.5,1,1.5,TP2,1,60,1631858.26,11.3,33155.73,2089.17,1319,True,True
vcal_e8_to05_tc05_s2_slm17_TP3_ad0_mh90,VIC,8,0.5,0.5,2,1.7,TP3,0,90,1202878.95,12.07,33143.46,1847.66,1319,True,True
vcal_e8_to05_tc05_s2_slm17_TP3_ad1_mh150,VIC,8,0.5,0.5,2,1.7,TP3,1,150,1210390.66,12.31,33133.25,1579.84,1319,True,True
vcal_e8_to05_tc05_s2_slm15_TP3_ad0_mh300,VIC,8,0.5,0.5,2,1.5,TP3,0,300,1764810.48,12.18,33071.44,1656.09,1319,True,True
vcal_e8_to05_tc15_s2_slm17_TP3_ad1_mh240,VIC,8,0.5,1.5,2,1.7,TP3,1,240,1147705.1,12.36,32993.58,1609.93,1319,True,True
vcal_e7_to05_tc15_s1_slm17_TP3_ad0_mh60,VIC,7,0.5,1.5,1,1.7,TP3,0,60,1708743.31,11.36,32922.4,1967.04,1319,True,True
vcal_e7_to05_tc15_s1_slm17_TP3_ad2_mh60,VIC,7,0.5,1.5,1,1.7,TP3,2,60,1668013.87,11.37,32901.63,1856.68,1319,True,True
vcal_e8_to05_tc05_s2_slm17_TP3_ad2_mh150,VIC,8,0.5,0.5,2,1.7,TP3,2,150,1130458.64,12.23,32870.71,1595.21,1319,True,True
vcal_e8_to05_tc05_s2_slm15_TP3_ad2_mh240,VIC,8,0.5,0.5,2,1.5,TP3,2,240,1664821.34,12.17,32807.15,1666.42,1319,True,True
vcal_e8_to05_tc15_s2_slm17_TP3_ad0_mh300,VIC,8,0.5,1.5,2,1.7,TP3,0,300,1092252.85,12.3,32730.44,1626.02,1319,True,True
vcal_e7_to05_tc15_s1_slm17_TP3_ad1_mh60,VIC,7,0.5,1.5,1,1.7,TP3,1,60,1669262.7,11.36,32677.06,1858.98,1319,True,True
vcal_e8_to05_tc15_s2_slm17_TP3_ad2_mh240,VIC,8,0.5,1.5,2,1.7,TP3,2,240,1078016.56,12.3,32638.6,1614.79,1319,True,True
vcal_e8_to05_tc05_s2_slm17_TP3_ad1_mh90,VIC,8,0.5,0.5,2,1.7,TP3,1,90,1128066.67,12.03,32600.53,1677.54,1319,True,True
vcal_e7_to05_tc15_s1_slm15_TP2_ad0_mh90,VIC,7,0.5,1.5,1,1.5,TP2,0,90,2707107.71,11.46,32430.67,2350.97,1319,True,True
vcal_e8_to05_tc05_s2_slm15_TP3_ad1_mh300,VIC,8,0.5,0.5,2,1.5,TP3,1,300,1640532.78,12.16,32409.24,1498.24,1319,True,True
vcal_e8_to05_tc05_s2_slm15_TP3_ad0_mh150,VIC,8,0.5,0.5,2,1.5,TP3,0,150,1680526.55,12.18,32403.69,1673.65,1319,True,True
vcal_e8_to05_tc15_s2_slm17_TP3_ad1_mh300,VIC,8,0.5,1.5,2,1.7,TP3,1,300,1059257.39,12.28,32389.31,1447.06,1319,True,True
vcal_e7_to05_tc15_s1_slm15_TP2_ad2_mh90,VIC,7,0.5,1.5,1,1.5,TP2,2,90,2659560.22,11.51,32285.75,2287.38,1319,True,True
vcal_e7_to05_tc15_s1_slm15_TP2_ad1_mh90,VIC,7,0.5,1.5,1,1.5,TP2,1,90,2633233.01,11.47,32184.46,2268.72,1319,True,True
vcal_e8_to05_tc15_s2_slm17_TP3_ad0_mh150,VIC,8,0.5,1.5,2,1.7,TP3,0,150,1062127.49,12.34,32056.82,1597.79,1319,True,True
vcal_e8_to05_tc05_s2_slm17_TP3_ad2_mh90,VIC,8,0.5,0.5,2,1.7,TP3,2,90,1062992.99,12.0,31961.65,1680.57,1319,True,True
vcal_e8_to05_tc05_s2_slm15_TP3_ad0_mh90,VIC,8,0.5,0.5,2,1.5,TP3,0,90,1647192.2,12.0,31957.72,1855.95,1319,True,True
vcal_e7_to05_tc05_s1_slm17_TP2_ad2_mh60,VIC,7,0.5,0.5,1,1.7,TP2,2,60,1471076.97,11.24,31898.58,1937.83,1319,True,True
vcal_e8_to05_tc15_s2_slm17_TP3_ad2_mh300,VIC,8,0.5,1.5,2,1.7,TP3,2,300,981348.31,12.31,31874.25,1446.56,1319,True,True
vcal_e8_to05_tc05_s2_slm15_TP3_ad2_mh300,VIC,8,0.5,0.5,2,1.5,TP3,2,300,1491718.55,12.15,31819.12,1497.74,1319,True,True
vcal_e7_to05_tc05_s1_slm17_TP2_ad0_mh60,VIC,7,0.5,0.5,1,1.7,TP2,0,60,1475870.97,11.24,31767.66,2055.19,1319,True,True
vcal_e8_to05_tc15_s2_slm15_TP3_ad0_mh240,VIC,8,0.5,1.5,2,1.5,TP3,0,240,1499803.6,12.23,31759.38,1711.2,1319,True,True
vcal_e7_to05_tc05_s1_slm17_TP2_ad1_mh60,VIC,7,0.5,0.5,1,1.7,TP2,1,60,1463077.59,11.28,31655.54,1940.13,1319,True,True
vcal_e8_to05_tc15_s2_slm17_TP3_ad0_mh90,VIC,8,0.5,1.5,2,1.7,TP3,0,90,1033492.76,12.09,31628.49,1764.96,1319,True,True
vcal_e7_to05_tc15_s1_slm15_TP3_ad0_mh60,VIC,7,0.5,1.5,1,1.5,TP3,0,60,2363828.52,11.27,31526.85,1951.36,1319,True,True
vcal_e7_to05_tc15_s1_slm15_TP3_ad2_mh60,VIC,7,0.5,1.5,1,1.5,TP3,2,60,2291019.11,11.29,31478.33,1841.0,1319,True,True
vcal_e8_to05_tc05_s2_slm15_TP3_ad1_mh150,VIC,8,0.5,0.5,2,1.5,TP3,1,150,1528183.05,12.19,31468.54,1570.98,1319,True,True
vcal_e7_to05_tc05_s2_slm17_TP3_ad0_mh240,VIC,7,0.5,0.5,2,1.7,TP3,0,240,1559852.62,12.35,31339.65,1659.04,1319,True,True
vcal_e8_to05_tc05_s2_slm15_TP3_ad1_mh90,VIC,8,0.5,0.5,2,1.5,TP3,1,90,1524007.91,12.0,31296.79,1695.17,1319,True,True
vcal_e8_to05_tc15_s2_slm17_TP3_ad1_mh150,VIC,8,0.5,1.5,2,1.7,TP3,1,150,1003663.59,12.31,31293.98,1484.98,1319,True,True
vcal_e7_to05_tc15_s1_slm15_TP3_ad1_mh60,VIC,7,0.5,1.5,1,1.5,TP3,1,60,2302503.16,11.32,31282.95,1843.3,1319,True,True
vcal_e8_to05_tc05_s2_slm15_TP3_ad2_mh150,VIC,8,0.5,0.5,2,1.5,TP3,2,150,1478614.6,12.14,31253.07,1582.87,1319,True,True
vcal_e8_to05_tc15_s2_slm15_TP3_ad1_mh240,VIC,8,0.5,1.5,2,1.5,TP3,1,240,1408569.41,12.31,31141.7,1559.35,1319,True,True
vcal_e8_to05_tc15_s2_slm17_TP3_ad1_mh90,VIC,8,0.5,1.5,2,1.7,TP3,1,90,981186.52,12.03,31103.56,1601.84,1319,True,True
vcal_e8_to05_tc15_s2_slm17_TP3_ad2_mh150,VIC,8,0.5,1.5,2,1.7,TP3,2,150,961536.97,12.31,31045.44,1500.35,1319,True,True
vcal_e7_to05_tc05_s2_slm17_TP3_ad1_mh240,VIC,7,0.5,0.5,2,1.7,TP3,1,240,1506986.18,12.36,30982.23,1499.16,1319,True,True
vcal_e8_to05_tc15_s2_slm15_TP3_ad0_mh300,VIC,8,0.5,1.5,2,1.5,TP3,0,300,1351632.82,12.21,30932.45,1539.88,1319,True,True
vcal_e7_to05_tc05_s2_slm17_TP3_ad0_mh300,VIC,7,0.5,0.5,2,1.7,TP3,0,300,1457334.74,12.35,30890.34,1540.49,1319,True,True
vcal_e8_to05_tc15_s2_slm15_TP3_ad2_mh240,VIC,8,0.5,1.5,2,1.5,TP3,2,240,1328629.4,12.24,30741.4,1564.21,1319,True,True
vcal_e8_to05_tc05_s2_slm15_TP3_ad2_mh90,VIC,8,0.5,0.5,2,1.5,TP3,2,90,1408864.15,11.99,30717.14,1698.2,1319,True,True
vcal_e7_to05_tc05_s2_slm17_TP3_ad2_mh240,VIC,7,0.5,0.5,2,1.7,TP3,2,240,1406919.23,12.31,30683.66,1504.02,1319,True,True
vcal_e8_to05_tc15_s2_slm15_TP3_ad0_mh150,VIC,8,0.5,1.5,2,1.5,TP3,0,150,1382907.19,12.26,30608.03,1572.79,1319,True,True
vcal_e7_to05_tc15_s1_slm17_TP2_ad2_mh60,VIC,7,0.5,1.5,1,1.7,TP2,2,60,1281819.02,11.28,30599.14,1836.83,1319,True,True
vcal_e7_to05_tc05_s2_slm17_TP3_ad1_mh300,VIC,7,0.5,0.5,2,1.7,TP3,1,300,1411632.64,12.34,30576.29,1380.61,1319,True,True
vcal_e8_to05_tc15_s2_slm15_TP3_ad0_mh90,VIC,8,0.5,1.5,2,1.5,TP3,0,90,1384366.63,12.06,30496.36,1773.25,1319,True,True
vcal_e7_to05_tc15_s1_slm17_TP2_ad0_mh60,VIC,7,0.5,1.5,1,1.7,TP2,0,60,1272416.73,11.3,30485.53,1947.19,1319,True,True
vcal_e8_to05_tc15_s2_slm17_TP3_ad2_mh90,VIC,8,0.5,1.5,2,1.7,TP3,2,90,919379.09,12.11,30480.68,1604.87,1319,True,True
vcal_e7_to05_tc05_s1_slm15_TP2_ad2_mh60,VIC,7,0.5,0.5,1,1.5,TP2,2,60,1971945.45,11.18,30422.11,1922.15,1319,True,True
vcal_e7_to05_tc15_s1_slm17_TP2_ad1_mh60,VIC,7,0.5,1.5,1,1.7,TP2,1,60,1261545.32,11.33,30365.57,1839.13,1319,True,True
vcal_e7_to05_tc05_s1_slm15_TP2_ad0_mh60,VIC,7,0.5,0.5,1,1.5,TP2,0,60,1996546.28,11.2,30344.95,2039.51,1319,True,True
vcal_e8_to05_tc15_s2_slm15_TP3_ad1_mh300,VIC,8,0.5,1.5,2,1.5,TP3,1,300,1274754.28,12.21,30281.25,1388.03,1319,True,True
vcal_e7_to05_tc05_s1_slm15_TP2_ad1_mh60,VIC,7,0.5,0.5,1,1.5,TP2,1,60,1979004.22,11.19,30209.14,1924.45,1319,True,True
vcal_e7_to05_tc05_s2_slm17_TP3_ad2_mh300,VIC,7,0.5,0.5,2,1.7,TP3,2,300,1293311.98,12.31,30124.71,1380.11,1319,True,True
vcal_e8_to05_tc15_s2_slm15_TP3_ad1_mh90,VIC,8,0.5,1.5,2,1.5,TP3,1,90,1298860.57,12.01,29858.43,1619.47,1319,True,True
vcal_e7_to05_tc05_s2_slm17_TP3_ad0_mh150,VIC,7,0.5,0.5,2,1.7,TP3,0,150,1343972.54,12.3,29772.89,1461.84,1319,True,True
vcal_e8_to05_tc15_s2_slm15_TP3_ad2_mh300,VIC,8,0.5,1.5,2,1.5,TP3,2,300,1170462.11,12.19,29697.13,1387.53,1319,True,True
vcal_e8_to05_tc15_s2_slm15_TP3_ad1_mh150,VIC,8,0.5,1.5,2,1.5,TP3,1,150,1237609.9,12.23,29695.88,1477.12,1319,True,True
vcal_e7_to05_tc05_s2_slm15_TP3_ad0_mh240,VIC,7,0.5,0.5,2,1.5,TP3,0,240,2000979.31,12.25,29683.36,1562.63,1319,True,True
vcal_e8_to05_tc05_s2_slm17_TP3_ad0_mh60,VIC,8,0.5,0.5,2,1.7,TP3,0,60,781487.47,11.83,29631.53,1806.44,1319,True,True
vcal_e8_to05_tc15_s2_slm15_TP3_ad2_mh150,VIC,8,0.5,1.5,2,1.5,TP3,2,150,1204373.21,12.22,29494.41,1489.01,1319,True,True
vcal_e7_to05_tc15_s2_slm17_TP3_ad0_mh240,VIC,7,0.5,1.5,2,1.7,TP3,0,240,1232746.24,12.4,29421.08,1557.5,1319,True,True
vcal_e8_to05_tc15_s2_slm15_TP3_ad2_mh90,VIC,8,0.5,1.5,2,1.5,TP3,2,90,1187798.57,12.01,29294.78,1622.5,1319,True,True
vcal_e7_to05_tc15_s1_slm15_TP2_ad2_mh60,VIC,7,0.5,1.5,1,1.5,TP2,2,60,1698757.49,11.29,29174.67,1821.15,1319,True,True
vcal_e8_to05_tc05_s2_slm17_TP3_ad1_mh60,VIC,8,0.5,0.5,2,1.7,TP3,1,60,743418.26,11.85,29119.24,1662.48,1319,True,True
vcal_e7_to05_tc15_s1_slm15_TP2_ad0_mh60,VIC,7,0.5,1.5,1,1.5,TP2,0,60,1698914.92,11.27,29112.82,1931.51,1319,True,True
vcal_e7_to05_tc05_s2_slm15_TP3_ad1_mh240,VIC,7,0.5,0.5,2,1.5,TP3,1,240,1868310.7,12.24,29098.36,1430.86,1319,True,True
vcal_e7_to05_tc05_s2_slm15_TP3_ad0_mh300,VIC,7,0.5,0.5,2,1.5,TP3,0,300,1831863.34,12.23,29086.64,1437.02,1319,True,True
vcal_e7_to05_tc15_s2_slm17_TP3_ad1_mh240,VIC,7,0.5,1.5,2,1.7,TP3,1,240,1184802.07,12.39,29075.66,1403.62,1319,True,True
vcal_e7_to05_tc05_s2_slm17_TP3_ad1_mh150,VIC,7,0.5,0.5,2,1.7,TP3,1,150,1235394.78,12.39,29073.45,1359.77,1319,True,True
vcal_e7_to05_tc15_s1_slm15_TP2_ad1_mh60,VIC,7,0.5,1.5,1,1.5,TP2,1,60,1668566.54,11.25,28969.17,1823.45,1319,True,True
vcal_e7_to05_tc05_s2_slm17_TP3_ad0_mh90,VIC,7,0.5,0.5,2,1.7,TP3,0,90,1220288.59,12.17,28951.55,1600.57,1319,True,True
vcal_e7_to05_tc15_s2_slm17_TP3_ad0_mh300,VIC,7,0.5,1.5,2,1.7,TP3,0,300,1144530.52,12.39,28908.56,1431.95,1319,True,True
vcal_e7_to05_tc05_s2_slm17_TP3_ad2_mh150,VIC,7,0.5,0.5,2,1.7,TP3,2,150,1191479.22,12.31,28877.52,1372.3,1319,True,True
vcal_e8_to05_tc05_s2_slm17_TP3_ad2_mh60,VIC,8,0.5,0.5,2,1.7,TP3,2,60,699726.52,11.81,28829.01,1644.41,1319,True,True
