cell,strategy,entries,trailing_open,trailing_close,trail_after_stage,sl_multiplier,final_target,activation_delay,max_hold,jan_net,jan_dd,jan_edge,jan_oos,jan_signals,pass_dd40,pass_dd50
vcal_e8_to05_tc15_s1_slm15_TP3_ad0_mh240,VIC,8,0.5,1.5,1,1.5,TP3,0,240,5114307.37,11.77,43601.28,2981.13,1319,True,True
vcal_e8_to05_tc05_s1_slm17_TP2_ad1_mh300,VIC,8,0.5,0.5,1,1.7,TP2,1,300,2847003.51,11.78,43490.11,2970.47,1319,True,True
vcal_e8_to05_tc15_s1_slm15_TP3_ad0_mh300,VIC,8,0.5,1.5,1,1.5,TP3,0,300,4946192.03,11.76,43421.88,2982.73,1319,True,True
vcal_e8_to05_tc15_s1_slm15_TP3_ad2_mh240,VIC,8,0.5,1.5,1,1.5,TP3,2,240,4962107.36,11.81,43357.39,2854.89,1319,True,True
vcal_e8_to05_tc15_s1_slm15_TP3_ad1_mh240,VIC,8,0.5,1.5,1,1.5,TP3,1,240,4960492.89,11.75,43247.06,2839.97,1319,True,True
vcal_e8_to05_tc05_s1_slm17_TP2_ad0_mh150,VIC,8,0.5,0.5,1,1.7,TP2,0,150,2812242.26,11.78,43200.54,2980.1,1319,True,True
vcal_e8_to05_tc05_s1_slm17_TP2_ad2_mh150,VIC,8,0.5,0.5,1,1.7,TP2,2,150,2806710.1,11.78,43156.87,2946.26,1319,True,True
vcal_e8_to05_tc15_s1_slm15_TP3_ad2_mh300,VIC,8,0.5,1.5,1,1.5,TP3,2,300,4711191.1,11.8,43053.56,2856.49,1319,True,True
vcal_e8_to05_tc05_s1_slm15_TP3_ad0_mh90,VIC,8,0.5,0.5,1,1.5,TP3,0,90,5217095.38,11.5,43028.95,2922.06,1319,True,True
vcal_e8_to05_tc15_s1_slm15_TP3_ad1_mh300,VIC,8,0.5,1.5,1,1.5,TP3,1,300,4735067.46,11.8,43008.31,2841.57,1319,True,True
vcal_e8_to05_tc05_s1_slm17_TP2_ad1_mh150,VIC,8,0.5,0.5,1,1.7,TP2,1,150,2757047.86,11.84,42847.85,2924.21,1319,True,True
vcal_e7_to05_tc05_s1_slm17_TP3_ad0_mh240,VIC,7,0.5,0.5,1,1.7,TP3,0,240,5121228.68,11.72,42742.04,2836.56,1319,True,True
vcal_e7_to05_tc05_s1_slm17_TP3_ad2_mh240,VIC,7,0.5,0.5,1,1.7,TP3,2,240,5035378.6,11.71,42696.02,2723.43,1319,True,True
vcal_e7_to05_tc05_s1_slm17_TP3_ad0_mh300,VIC,7,0.5,0.5,1,1.7,TP3,0,300,4984404.68,11.7,42677.58,2855.72,1319,True,True
vcal_e8_to05_tc05_s1_slm15_TP3_ad1_mh90,VIC,8,0.5,0.5,1,1.5,TP3,1,90,4970924.93,11.5,42602.53,2819.95,1319,True,True
vcal_e8_to05_tc05_s1_slm15_TP3_ad2_mh90,VIC,8,0.5,0.5,1,1.5,TP3,2,90,4943957.07,11.49,42579.36,2839.84,1319,True,True
vcal_e8_to05_tc15_s1_slm15_TP3_ad0_mh150,VIC,8,0.5,1.5,1,1.5,TP3,0,150,4699316.15,11.75,42538.5,2868.07,1319,True,True
vcal_e7_to05_tc05_s1_slm17_TP3_ad2_mh300,VIC,7,0.5,0.5,1,1.7,TP3,2,300,4825048.14,11.74,42489.79,2742.59,1319,True,True
vcal_e7_to05_tc05_s1_slm17_TP3_ad1_mh240,VIC,7,0.5,0.5,1,1.7,TP3,1,240,5036112.71,11.74,42473.42,2709.29,1319,True,True
vcal_e7_to05_tc05_s1_slm17_TP3_ad1_mh300,VIC,7,0.5,0.5,1,1.7,TP3,1,300,4859257.94,11.71,42323.31,2728.45,1319,True,True
vcal_e8_to05_tc15_s1_slm15_TP3_ad2_mh150,VIC,8,0.5,1.5,1,1.5,TP3,2,150,4472241.7,11.75,42260.71,2833.33,1319,True,True
vcal_e8_to05_tc05_s1_slm15_TP2_ad0_mh240,VIC,8,0.5,0.5,1,1.5,TP2,0,240,4345243.99,11.68,42164.49,3040.94,1319,True,True
vcal_e8_to05_tc15_s1_slm17_TP3_ad0_mh90,VIC,8,0.5,1.5,1,1.7,TP3,0,90,2724115.26,11.63,42131.04,2760.16,1319,True,True
vcal_e8_to05_tc15_s1_slm15_TP3_ad1_mh150,VIC,8,0.5,1.5,1,1.5,TP3,1,150,4512462.11,11.75,42122.79,2814.76,1319,True,True
vcal_e8_to05_tc05_s1_slm15_TP2_ad2_mh240,VIC,8,0.5,0.5,1,1.5,TP2,2,240,4257544.75,11.67,42059.59,2920.16,1319,True,True
vcal_e8_to05_tc15_s1_slm17_TP2_ad0_mh240,VIC,8,0.5,1.5,1,1.7,TP2,0,240,2502244.35,11.85,42058.71,2900.62,1319,True,True
vcal_e8_to05_tc15_s1_slm17_TP2_ad2_mh240,VIC,8,0.5,1.5,1,1.7,TP2,2,240,2469501.77,11.8,41988.18,2779.84,1319,True,True
vcal_e8_to05_tc05_s1_slm15_TP2_ad0_mh300,VIC,8,0.5,0.5,1,1.5,TP2,0,300,4145107.83,11.65,41920.17,3042.54,1319,True,True
vcal_e8_to05_tc05_s1_slm15_TP2_ad1_mh240,VIC,8,0.5,0.5,1,1.5,TP2,1,240,4160684.47,11.63,41784.12,2905.24,1319,True,True
vcal_e8_to05_tc05_s1_slm15_TP2_ad2_mh300,VIC,8,0.5,0.5,1,1.5,TP2,2,300,4027185.62,11.65,41740.65,2921.76,1319,True,True
vcal_e8_to05_tc15_s1_slm17_TP2_ad0_mh300,VIC,8,0.5,1.5,1,1.7,TP2,0,300,2384274.97,11.83,41736.84,2924.17,1319,True,True
vcal_e8_to05_tc15_s1_slm17_TP3_ad1_mh90,VIC,8,0.5,1.5,1,1.7,TP3,1,90,2599653.4,11.61,41655.04,2666.05,1319,True,True
vcal_e8_to05_tc15_s1_slm17_TP3_ad2_mh90,VIC,8,0.5,1.5,1,1.7,TP3,2,90,2576656.47,11.65,41641.61,2685.94,1319,True,True
vcal_e8_to05_tc15_s1_slm17_TP2_ad2_mh300,VIC,8,0.5,1.5,1,1.7,TP2,2,300,2339456.5,11.82,41613.07,2803.39,1319,True,True
vcal_e8_to05_tc15_s1_slm17_TP2_ad1_mh240,VIC,8,0.5,1.5,1,1.7,TP2,1,240,2412332.77,11.83,41599.74,2764.92,1319,True,True
vcal_e7_to05_tc05_s1_slm17_TP3_ad0_mh150,VIC,7,0.5,0.5,1,1.7,TP3,0,150,4594649.97,11.69,41592.13,2698.7,1319,True,True
vcal_e8_to05_tc05_s1_slm15_TP2_ad1_mh300,VIC,8,0.5,0.5,1,1.5,TP2,1,300,3969903.61,11.65,41528.43,2906.84,1319,True,True
