label,quality_profile,min_quality_score,extreme_entry_mode,window,window_start,window_end,pure_trading_pnl,rebate_pnl,net_pnl,closed_lots,pure_pnl_per_lot,net_pnl_per_lot,rebate_share_of_profit,score_objective,score,passes_rebate_guards,rebate_guard_reason,max_drawdown_pct,win_rate_pct,signals_included,tick_signals,m1_signals,data_source_mixed,partial_tick_lifecycle_excluded,open_or_pending_left,included_in_ranking,opposite_signal_policy,same_side_overlap_policy,collision_policy_pnl,opposite_collisions_total,opposite_collisions_allowed,opposite_collisions_rejected,opposite_collisions_flipped,opposite_collisions_profit_bank_rearmed,same_side_clusters_total,same_side_clusters_accepted,same_side_clusters_rejected,same_side_clusters_downsized,max_same_side_cluster_risk,max_opposite_exposure
base,off,0.0,off,smoke,2026-06-27,2026-07-01,-2591.63,43.68,-2547.95,14.56,-177.9966,-174.9966,1.0,edge_plus_rebate_guarded,-2591.63,False,pure_pnl_below_min,6.27,27.9,164,164,0,False,False,True,False,allow_hedge,allow_all,0,0,0,0,0,0,0,0,0,0,0,0
hybrid_quality,hybrid_quality,0.0,off,smoke,2026-06-27,2026-07-01,-120.73,4.68,-116.05,1.56,-77.391,-74.391,1.0,edge_plus_rebate_guarded,-120.73,False,pure_pnl_below_min,1.85,26.7,18,18,0,False,False,True,False,allow_hedge,allow_all,0,0,0,0,0,0,0,0,0,0,0,0
profit_bank_rearm,off,0.0,off,smoke,2026-06-27,2026-07-01,-2591.63,43.68,-2547.95,14.56,-177.9966,-174.9966,1.0,edge_plus_rebate_guarded,-2591.63,False,pure_pnl_below_min,6.27,27.9,164,164,0,False,False,True,False,profit_bank_rearm,allow_all,0.0,95,95,0,0,0,0,0,0,0,0.0,1.0
hybrid_quality_profit_bank_scale_better,hybrid_quality,0.0,off,smoke,2026-06-27,2026-07-01,-92.83,2.61,-90.22,0.87,-106.7011,-103.7011,1.0,edge_plus_rebate_guarded,-92.83,False,pure_pnl_below_min,0.87,22.2,11,11,0,False,False,True,False,profit_bank_rearm,scale_in_better_entry_only,0.0,5,2,0,0,0,7,0,7,0,0.0,0.08
